OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
09/20/2024,01:00,15050.38,1950.90,6934.84,1777.08,16798.09,4369.04,9620.30,1357.79,57858.41,N
09/20/2024,02:00,14304.53,1782.08,6864.69,1686.05,15660.20,4239.40,9049.46,1296.04,54882.44,N
09/20/2024,03:00,13849.42,1676.20,6826.49,1638.12,14927.46,4138.05,8655.50,1274.65,52985.90,N
09/20/2024,04:00,13608.52,1629.25,6784.76,1605.26,14299.21,4048.10,8478.96,1211.97,51666.04,N
09/20/2024,05:00,13500.87,1615.15,6752.98,1592.55,14133.22,3999.42,8396.01,1215.82,51206.02,N
09/20/2024,06:00,13777.64,1656.08,6790.77,1620.31,14434.00,4065.51,8532.53,1235.69,52112.53,N
09/20/2024,07:00,14169.40,1764.95,6799.09,1691.47,15021.72,4220.59,8878.04,1243.03,53788.29,N
09/20/2024,08:00,14155.67,1780.34,6819.50,1702.51,15213.70,4130.05,9051.59,1329.61,54182.97,N
09/20/2024,09:00,14795.20,1800.07,6973.52,1732.25,15992.82,4332.19,9235.98,1352.37,56214.41,N
09/20/2024,10:00,16192.43,2000.06,7131.57,1852.57,17421.83,4577.72,9773.63,1451.11,60400.92,N
09/20/2024,11:00,17336.02,2300.53,7384.89,1979.07,19030.77,4883.56,10358.24,1558.41,64831.50,N
09/20/2024,12:00,18267.22,2502.68,7427.23,2043.84,20507.54,5175.07,11061.40,1620.92,68605.90,N
09/20/2024,13:00,19286.51,2623.23,7506.79,2185.48,22032.56,5382.33,11760.75,1786.97,72564.62,N
09/20/2024,14:00,20138.15,2835.42,7346.92,2212.89,23484.18,5553.43,12466.63,1849.26,75886.89,N
09/20/2024,15:00,20671.41,2988.25,6940.04,2199.60,24338.82,5685.45,12824.97,1912.37,77560.92,N
09/20/2024,16:00,20797.01,3022.50,6691.83,2124.93,24611.72,5586.74,13008.32,1975.90,77818.95,N
09/20/2024,17:00,20723.04,2986.00,6442.05,2083.79,24874.71,5516.76,13089.67,1950.00,77666.02,N
09/20/2024,18:00,20432.15,2840.84,6373.08,2128.30,24780.79,5410.00,13182.95,1931.71,77079.83,N
09/20/2024,19:00,19697.59,2704.93,6454.09,2126.79,23982.85,5412.80,13230.07,1856.24,75465.36,N
09/20/2024,20:00,18911.91,2534.05,6537.24,1890.34,22587.92,5243.16,12503.65,1763.13,71971.40,N
09/20/2024,21:00,18262.69,2400.31,6851.24,1936.87,21598.91,5107.77,12072.02,1738.44,69968.24,N
09/20/2024,22:00,17518.48,2275.94,7243.31,1955.90,20829.56,4904.38,11609.89,1631.67,67969.13,N
09/20/2024,23:00,16687.83,2135.79,7156.65,1800.05,19420.15,4747.37,10828.34,1519.88,64296.06,N
09/20/2024,24:00,15851.67,1999.44,6921.93,1717.76,18022.93,4557.65,10221.34,1445.40,60738.11,N
