OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
09/08/2024,01:00,12926.47,1420.36,6654.47,1382.61,11989.32,3764.90,7313.96,1181.23,46633.32,N
09/08/2024,02:00,12349.41,1329.23,6872.44,1414.58,11258.10,3488.40,6729.17,1102.76,44544.09,N
09/08/2024,03:00,11886.53,1278.90,6917.16,1372.91,10623.92,3318.73,6315.30,1039.61,42753.06,N
09/08/2024,04:00,11547.04,1225.29,6842.49,1352.05,10219.38,3312.32,6094.57,1052.56,41645.71,N
09/08/2024,05:00,11291.69,1207.58,6711.65,1339.83,9988.92,3318.09,5884.99,1079.76,40822.50,N
09/08/2024,06:00,11172.54,1198.40,6597.39,1343.15,9912.60,3243.47,5835.45,1076.84,40379.82,N
09/08/2024,07:00,11092.18,1217.59,6539.51,1314.55,9965.66,3266.54,5900.31,1099.74,40396.08,N
09/08/2024,08:00,11000.12,1222.22,6374.54,1136.49,10135.48,3241.39,6042.42,1106.91,40259.57,N
09/08/2024,09:00,11498.30,1330.92,7129.36,1336.32,11009.27,3331.80,6402.66,1139.72,43178.36,N
09/08/2024,10:00,12538.99,1351.45,7742.65,1506.23,11847.81,3630.21,6971.26,1192.08,46780.68,N
09/08/2024,11:00,13048.94,1380.07,7438.54,1498.86,12346.60,3874.72,7325.92,1209.72,48123.39,N
09/08/2024,12:00,13510.41,1455.04,7078.02,1540.93,12955.19,4147.31,7536.88,1234.77,49458.55,N
09/08/2024,13:00,14301.34,1567.79,7188.71,1612.44,13777.19,4394.19,7833.30,1284.10,51959.05,N
09/08/2024,14:00,15067.43,1665.90,7228.53,1701.85,14569.10,4588.96,8203.16,1327.65,54352.57,N
09/08/2024,15:00,15805.75,1711.67,7281.36,1793.62,15395.15,4729.64,8618.60,1392.82,56728.62,N
09/08/2024,16:00,16470.25,1793.38,7332.53,1878.92,16087.24,4743.33,9100.96,1437.55,58844.15,N
09/08/2024,17:00,16905.53,1856.11,7339.88,1938.93,16733.74,4873.43,9509.41,1463.02,60620.04,N
09/08/2024,18:00,16932.59,1921.43,7324.72,1979.38,17118.06,4870.88,9793.00,1493.81,61433.86,N
09/08/2024,19:00,16526.97,1949.25,7208.14,1947.35,16860.93,4779.79,9801.80,1457.70,60531.93,N
09/08/2024,20:00,15911.52,1945.25,6893.32,1826.39,16121.76,4665.97,9547.75,1437.98,58349.94,N
09/08/2024,21:00,15572.64,1884.98,6846.62,1624.48,15545.76,4577.76,9155.16,1436.77,56644.17,N
09/08/2024,22:00,14945.76,1766.40,6785.13,1529.25,14770.87,4327.96,8621.07,1343.78,54090.22,N
09/08/2024,23:00,14069.98,1631.88,6830.50,1422.75,13500.20,4176.19,7974.15,1254.61,50860.26,N
09/08/2024,24:00,13124.78,1502.55,6846.60,1432.45,12169.73,3949.45,7145.09,1183.60,47354.25,N
