OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
09/29/2024,01:00,12350.98,1436.16,6543.80,1366.15,12148.89,3985.95,7432.49,1285.33,46549.76,N
09/29/2024,02:00,11745.19,1320.79,6511.19,1351.01,11492.08,3908.37,6930.81,1246.60,44506.03,N
09/29/2024,03:00,11220.18,1294.10,6511.90,1316.05,10862.99,3659.81,6546.38,1227.36,42638.77,N
09/29/2024,04:00,10840.86,1304.20,6513.66,1336.35,10444.88,3575.31,6251.90,1218.68,41485.84,N
09/29/2024,05:00,10641.71,1292.52,6508.46,1326.15,10291.77,3410.46,6086.26,1213.13,40770.45,N
09/29/2024,06:00,10532.19,1290.97,6499.00,1281.64,10197.15,3425.66,5928.27,1217.19,40372.08,N
09/29/2024,07:00,10535.35,1304.08,6448.02,1310.80,10293.96,3456.60,6044.36,1214.30,40607.49,N
09/29/2024,08:00,10534.96,1289.70,6448.72,1288.10,10501.26,3336.96,6042.07,1229.59,40671.36,N
09/29/2024,09:00,11169.00,1380.40,7013.63,1510.88,11144.33,3632.03,6357.91,1177.73,43385.91,N
09/29/2024,10:00,12358.42,1410.65,7600.16,1580.25,12256.02,4129.22,7035.89,1204.39,47574.99,N
09/29/2024,11:00,13266.40,1502.82,7650.02,1589.08,13171.38,4255.33,7582.39,1301.54,50318.96,N
09/29/2024,12:00,14262.40,1626.79,7296.27,1654.16,14099.73,4610.73,8267.30,1325.38,53142.77,N
09/29/2024,13:00,15357.93,1825.51,7263.40,1717.95,15379.24,4975.61,9083.18,1359.70,56962.52,N
09/29/2024,14:00,16411.32,2020.65,7122.51,1810.84,16495.22,5329.84,9806.06,1450.74,60447.19,N
09/29/2024,15:00,17257.02,2156.52,7150.22,1927.54,17657.77,5543.63,10418.19,1514.36,63625.24,N
09/29/2024,16:00,17953.47,2262.39,7231.61,2002.17,18544.88,5714.40,10991.90,1597.89,66298.69,N
09/29/2024,17:00,18328.31,2329.54,7281.41,2067.49,19187.53,5698.98,11430.55,1654.60,67978.42,N
09/29/2024,18:00,18297.99,2351.23,7029.93,2020.01,19362.49,5651.20,11656.93,1685.58,68055.36,N
09/29/2024,19:00,17635.86,2287.62,6715.14,1781.03,18747.22,5525.58,11500.94,1686.86,65880.25,N
09/29/2024,20:00,16856.79,2181.12,6419.23,1564.02,17456.51,5253.96,10915.91,1682.06,62329.59,N
09/29/2024,21:00,16160.17,2120.32,6453.11,1610.64,16851.68,5129.60,10298.28,1621.33,60245.14,N
09/29/2024,22:00,15403.18,1987.65,6672.16,1653.82,15811.73,4845.81,9607.60,1485.77,57467.71,N
09/29/2024,23:00,14463.16,1841.73,6904.05,1612.80,14587.38,4494.07,8789.95,1378.28,54071.41,N
09/29/2024,24:00,13419.10,1679.94,7033.45,1520.11,13195.67,4142.10,7954.59,1276.48,50221.44,N
