OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
09/07/2024,01:00,12868.63,1590.69,6494.27,1325.65,13815.41,4005.96,8204.21,1251.64,49556.47,N
09/07/2024,02:00,12370.71,1535.56,6343.47,1241.67,12960.74,3727.27,7688.10,1213.44,47080.96,N
09/07/2024,03:00,12036.04,1439.75,6468.74,1199.06,12261.85,3705.91,7246.54,1148.02,45505.92,N
09/07/2024,04:00,11803.03,1402.97,6503.35,1181.96,11789.54,3764.53,6936.93,1123.86,44506.16,N
09/07/2024,05:00,11620.91,1371.72,6505.24,1172.05,11500.17,3737.47,6794.86,1092.85,43795.27,N
09/07/2024,06:00,11646.66,1385.67,6595.63,1176.01,11406.72,3520.29,6861.50,1083.65,43676.13,N
09/07/2024,07:00,11735.47,1379.35,6685.00,1373.13,11487.43,3538.40,6748.84,1058.91,44006.53,N
09/07/2024,08:00,11792.70,1338.58,6717.28,1418.91,11565.80,3557.44,6856.17,1067.72,44314.61,N
09/07/2024,09:00,12405.72,1387.25,7382.13,1458.59,12308.92,3686.02,7442.91,1143.03,47214.56,N
09/07/2024,10:00,13412.06,1479.36,7618.56,1564.07,13267.51,3918.08,7905.00,1213.11,50377.74,N
09/07/2024,11:00,14034.21,1559.90,7324.77,1588.06,13924.05,4117.00,8531.34,1260.76,52340.09,N
09/07/2024,12:00,14722.53,1651.83,7134.39,1622.07,14581.91,4376.83,8887.70,1312.22,54289.50,N
09/07/2024,13:00,15568.98,1735.87,7127.30,1705.36,15416.51,4561.88,9357.62,1450.58,56924.10,N
09/07/2024,14:00,16221.63,1841.15,7171.18,1801.65,16184.64,4811.76,9682.39,1406.86,59121.27,N
09/07/2024,15:00,16711.94,1922.07,7277.72,1863.71,16825.61,4980.69,9965.96,1467.65,61015.34,N
09/07/2024,16:00,17107.83,1973.47,7267.82,1925.92,17425.06,5119.55,10271.87,1506.86,62598.38,N
09/07/2024,17:00,17096.51,2057.85,7350.31,1975.71,17881.42,5212.26,10518.63,1537.52,63630.21,N
09/07/2024,18:00,16901.91,2071.62,7351.32,1976.49,17958.11,5204.08,10602.08,1560.96,63626.56,N
09/07/2024,19:00,16386.34,2026.35,7191.49,1945.81,17523.09,5089.04,10452.09,1517.00,62131.21,N
09/07/2024,20:00,15726.98,1965.90,6881.18,1788.83,16442.18,4783.88,10025.41,1504.27,59118.62,N
09/07/2024,21:00,15405.26,1888.51,6651.80,1602.84,15806.22,4695.82,9641.79,1479.53,57171.77,N
09/07/2024,22:00,14839.38,1751.66,6726.84,1522.73,15093.42,4562.61,9183.06,1393.74,55073.43,N
09/07/2024,23:00,14202.22,1648.23,6702.59,1428.69,14119.41,4474.81,8574.19,1309.51,52459.66,N
09/07/2024,24:00,13555.89,1514.56,6599.34,1417.11,12958.71,4236.61,7931.78,1237.60,49451.62,N
