OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
09/19/2024,01:00,15053.81,1906.14,6849.93,1767.90,16188.36,4244.63,9692.62,1345.84,57049.23,N
09/19/2024,02:00,14474.75,1756.69,6789.51,1701.55,15271.23,4180.05,9184.84,1292.65,54651.27,N
09/19/2024,03:00,13982.21,1642.46,6799.99,1656.28,14584.26,4067.50,8746.58,1234.89,52714.18,N
09/19/2024,04:00,13788.36,1615.30,6767.94,1626.07,14198.22,3994.01,8545.44,1219.46,51754.79,N
09/19/2024,05:00,13694.24,1613.75,6711.49,1617.17,14047.82,3928.20,8499.23,1202.03,51313.94,N
09/19/2024,06:00,13961.62,1665.80,6739.52,1633.83,14380.52,3978.11,8634.59,1229.86,52223.85,N
09/19/2024,07:00,14329.53,1776.30,6794.00,1689.27,15134.46,4165.10,9067.38,1282.78,54238.81,N
09/19/2024,08:00,14350.71,1784.48,6846.12,1678.64,15242.92,4189.75,9113.47,1287.69,54493.77,N
09/19/2024,09:00,14988.52,1819.42,6987.59,1700.65,15859.28,4418.50,9237.37,1302.93,56314.28,N
09/19/2024,10:00,16177.38,2003.46,7632.05,1861.36,17301.16,4662.33,9709.63,1465.77,60813.15,N
09/19/2024,11:00,17410.96,2294.67,7520.52,1931.28,18569.46,4926.37,10366.62,1585.74,64605.63,N
09/19/2024,12:00,18360.89,2396.90,7288.09,2004.08,20090.68,5355.95,11045.57,1650.50,68192.66,N
09/19/2024,13:00,19386.09,2645.93,7196.52,2107.98,21420.41,5524.42,11778.10,1757.96,71817.40,N
09/19/2024,14:00,20483.52,2771.98,7142.36,2076.42,22844.85,5681.91,12533.22,1847.92,75382.17,N
09/19/2024,15:00,20890.38,2861.96,6690.91,2017.70,23694.44,5818.95,12765.65,1961.98,76701.97,N
09/19/2024,16:00,20969.05,2886.10,6539.31,2061.72,24228.48,5762.97,13164.63,2042.65,77654.91,N
09/19/2024,17:00,20905.92,2896.40,6376.02,2102.80,24636.42,5649.40,13237.41,2105.11,77909.48,N
09/19/2024,18:00,20590.58,2839.47,6488.25,2141.04,24679.14,5551.78,13186.66,2052.14,77529.07,N
09/19/2024,19:00,19890.83,2733.63,6532.96,2188.52,24271.13,5490.50,13270.85,1905.58,76284.00,N
09/19/2024,20:00,19393.40,2658.78,6877.25,2106.56,23114.43,5504.78,12913.99,1813.78,74382.98,N
09/19/2024,21:00,18805.78,2553.15,7227.92,2148.07,22261.84,5394.83,12484.33,1833.81,72709.71,N
09/19/2024,22:00,17967.04,2382.35,7189.44,2111.62,21026.15,5212.64,11937.55,1681.01,69507.81,N
09/19/2024,23:00,16980.59,2293.76,7085.97,2052.24,19668.10,4945.61,11171.63,1612.31,65810.19,N
09/19/2024,24:00,15914.71,2128.67,6971.48,1861.22,18030.99,4622.76,10253.89,1487.32,61271.04,N
