OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
12/26/2024,01:00,10382.77,1158.41,7422.10,1527.40,10161.48,3028.83,5876.82,1012.33,40570.13,N
12/26/2024,02:00,10153.18,1122.55,7374.95,1515.44,9821.78,3169.09,5671.71,1019.58,39848.28,N
12/26/2024,03:00,9910.09,1105.77,7310.51,1502.41,9629.59,3066.28,5543.87,1033.59,39102.11,N
12/26/2024,04:00,9886.38,1096.24,7308.54,1634.33,9687.42,2906.63,5586.47,1013.75,39119.77,N
12/26/2024,05:00,9999.43,1108.69,7267.46,1630.42,9858.92,2836.64,5639.90,1039.74,39381.19,N
12/26/2024,06:00,10300.46,1160.85,7223.68,1597.66,10285.44,2909.98,5836.43,1102.05,40416.55,N
12/26/2024,07:00,10726.76,1284.73,7083.53,1563.81,10930.62,3071.84,6127.82,1150.57,41939.66,N
12/26/2024,08:00,11053.98,1309.34,6908.56,1442.12,11416.15,3146.54,6351.32,1116.23,42744.24,N
12/26/2024,09:00,11318.39,1345.28,6704.40,1340.92,11926.67,3236.37,6584.64,1065.80,43522.48,N
12/26/2024,10:00,11713.63,1385.92,7246.68,1700.85,12668.90,3551.15,6802.54,1024.50,46094.17,N
12/26/2024,11:00,12148.05,1450.37,7905.84,1976.31,13472.78,3707.48,7196.85,1013.46,48871.12,N
12/26/2024,12:00,12377.67,1488.46,7774.09,1804.59,13534.60,4062.25,7135.73,1075.87,49253.25,N
12/26/2024,13:00,12692.45,1525.65,7670.76,1758.54,13646.70,4130.59,6987.25,1253.11,49665.03,N
12/26/2024,14:00,13205.73,1537.85,7845.04,1718.10,13173.51,4401.39,6975.66,1277.52,50134.80,N
12/26/2024,15:00,13276.75,1561.46,7870.95,1715.89,12920.20,4518.50,6961.69,1133.86,49959.29,N
12/26/2024,16:00,13001.88,1581.13,7607.18,1734.01,12853.09,4422.94,7257.84,1159.07,49617.12,N
12/26/2024,17:00,12603.80,1462.62,7395.07,1712.20,12760.28,4267.63,7269.73,1253.45,48724.78,N
12/26/2024,18:00,12600.00,1532.81,6794.79,1648.33,13053.34,4193.21,7404.45,1254.07,48481.01,N
12/26/2024,19:00,12713.34,1604.32,6753.91,1627.87,13244.48,4130.10,7508.14,1317.03,48899.18,N
12/26/2024,20:00,12585.26,1556.95,6900.64,1606.23,13100.15,4057.58,7399.21,1336.27,48542.29,N
12/26/2024,21:00,12415.82,1545.76,7066.53,1724.54,12950.63,3932.20,7207.13,1346.71,48189.32,N
12/26/2024,22:00,12113.97,1512.27,7154.47,1762.79,12657.74,3820.95,7023.25,1362.62,47408.05,N
12/26/2024,23:00,11648.84,1435.72,7399.45,1701.15,12124.46,3669.30,6710.87,1282.10,45971.89,N
12/26/2024,24:00,11140.11,1366.59,7563.41,1732.43,11639.13,3480.59,6441.92,1200.90,44565.08,N
