OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
12/23/2024,01:00,11036.37,1568.57,7589.16,1600.60,11592.71,3325.92,6331.22,886.65,43931.19,N
12/23/2024,02:00,10979.73,1500.03,7651.92,1591.34,11290.64,3286.90,6113.10,888.35,43302.01,N
12/23/2024,03:00,10681.13,1494.13,7603.39,1627.56,10921.41,3097.20,5864.52,848.58,42137.92,N
12/23/2024,04:00,10590.10,1468.92,7533.59,1560.57,10671.99,3044.99,5793.97,825.76,41489.89,N
12/23/2024,05:00,10760.39,1501.75,7511.88,1572.62,10837.64,2988.01,5834.06,833.67,41840.01,N
12/23/2024,06:00,11112.70,1559.92,7499.12,1613.59,11300.11,3029.01,6069.83,860.98,43045.26,N
12/23/2024,07:00,11578.14,1662.55,7408.91,1693.50,12087.71,3160.68,6451.14,935.97,44978.60,N
12/23/2024,08:00,11820.49,1694.03,7291.70,1685.14,12637.51,3227.88,6762.10,1015.94,46134.78,N
12/23/2024,09:00,11961.58,1700.27,7414.90,1678.78,13096.96,3329.19,6933.22,1084.35,47199.25,N
12/23/2024,10:00,12077.21,1598.03,8197.73,1817.53,13547.83,3497.34,7061.53,1073.01,48870.22,N
12/23/2024,11:00,12257.26,1590.63,8356.34,1823.37,13797.29,3859.63,7170.97,1103.76,49959.24,N
12/23/2024,12:00,12382.40,1545.71,8016.97,1691.79,13382.69,4026.10,7120.40,998.85,49164.92,N
12/23/2024,13:00,12432.49,1512.96,7498.09,1651.91,13207.82,4109.01,7199.04,984.52,48595.83,N
12/23/2024,14:00,12343.31,1479.57,7259.25,1618.11,12959.22,4005.25,7190.26,1138.71,47993.67,N
12/23/2024,15:00,12308.99,1467.42,7296.17,1600.77,12559.33,4168.85,7184.72,1162.72,47748.96,N
12/23/2024,16:00,12322.44,1428.38,7368.02,1615.13,12323.81,4177.59,7328.20,1162.09,47725.66,N
12/23/2024,17:00,12236.48,1472.31,7463.04,1623.89,12302.75,4187.87,7494.13,1109.38,47889.85,N
12/23/2024,18:00,12400.43,1544.41,7323.77,1605.22,12715.10,4127.09,7619.88,1094.63,48430.53,N
12/23/2024,19:00,12528.06,1578.44,7352.65,1647.07,12987.21,4118.20,7825.66,1094.56,49131.85,N
12/23/2024,20:00,12378.70,1585.40,7466.85,1653.53,12796.32,4073.53,7724.55,1055.37,48734.24,N
12/23/2024,21:00,12169.73,1555.98,7373.78,1620.69,12540.73,3987.76,7590.65,983.84,47823.16,N
12/23/2024,22:00,11949.29,1491.53,7336.17,1594.48,12202.93,4038.84,7423.93,1009.91,47047.07,N
12/23/2024,23:00,11588.80,1443.58,7323.63,1581.54,11599.29,3810.99,7046.79,1028.17,45422.78,N
12/23/2024,24:00,11172.18,1350.76,7361.64,1549.72,11056.79,3620.55,6700.38,1057.32,43869.35,N
