OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
12/30/2024,01:00,10450.87,1423.04,7355.46,1439.54,11140.37,3508.65,6199.89,1041.57,42559.39,N
12/30/2024,02:00,10232.39,1399.20,7311.22,1412.38,10843.31,3194.85,5984.25,1178.06,41555.67,N
12/30/2024,03:00,10064.72,1379.03,7274.88,1394.02,10790.66,3098.99,5694.53,1147.90,40844.72,N
12/30/2024,04:00,9955.93,1301.22,7407.98,1406.96,10607.59,3063.13,5731.75,995.61,40470.17,N
12/30/2024,05:00,10060.59,1320.86,7383.66,1438.22,10893.40,2960.35,5795.55,963.62,40816.24,N
12/30/2024,06:00,10374.31,1395.01,7322.44,1495.19,11375.82,3074.56,6040.01,1050.76,42128.11,N
12/30/2024,07:00,10793.40,1486.28,7254.02,1543.87,12172.92,3265.89,6468.11,1191.61,44176.10,N
12/30/2024,08:00,11014.79,1562.15,7332.44,1582.26,12917.26,3371.55,6800.47,1177.34,45758.24,N
12/30/2024,09:00,11291.19,1540.60,7462.43,1595.89,13269.42,3358.26,6931.40,1139.26,46588.46,N
12/30/2024,10:00,11693.31,1615.93,7745.68,1600.17,13259.12,3386.92,6938.60,1149.05,47388.78,N
12/30/2024,11:00,12039.04,1587.44,8021.48,1614.91,13039.36,3477.39,6871.47,1061.97,47713.06,N
12/30/2024,12:00,12353.49,1559.19,7929.32,1589.76,12735.77,3584.19,6766.08,1025.35,47543.15,N
12/30/2024,13:00,12497.74,1578.96,7716.91,1549.23,12812.65,3849.70,6970.96,1057.30,48033.46,N
12/30/2024,14:00,12847.91,1631.24,7599.20,1530.44,12908.88,4103.77,7241.31,1178.10,49040.86,N
12/30/2024,15:00,13332.47,1641.29,7698.02,1536.18,12852.42,4356.48,7506.90,1210.20,50133.96,N
12/30/2024,16:00,13623.82,1591.87,7700.35,1596.36,12823.05,4518.50,7841.18,1183.44,50878.57,N
12/30/2024,17:00,13231.84,1559.24,7436.73,1528.56,12850.11,4607.83,8128.41,1161.62,50504.34,N
12/30/2024,18:00,13125.72,1529.53,7469.46,1541.57,12948.46,4319.04,8070.40,1123.56,50127.75,N
12/30/2024,19:00,13147.64,1612.96,7491.70,1607.70,13202.96,4210.76,8053.20,1186.32,50513.26,N
12/30/2024,20:00,12881.06,1591.10,7426.50,1649.95,13031.58,4065.14,7778.93,1164.69,49588.95,N
12/30/2024,21:00,12626.40,1566.11,7472.84,1624.00,12838.84,3890.81,7523.20,1064.55,48606.73,N
12/30/2024,22:00,12333.22,1567.60,7434.12,1584.97,12579.20,4029.15,7237.67,1021.64,47787.57,N
12/30/2024,23:00,11891.98,1515.55,7379.27,1531.94,12121.90,3811.64,6897.34,1028.87,46178.48,N
12/30/2024,24:00,11366.67,1418.34,7463.23,1461.83,11586.54,3676.18,6520.62,1029.89,44523.31,N
