OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
12/10/2024,01:00,11171.91,1443.46,6934.79,1572.95,11648.28,3105.31,6201.39,1028.25,43106.34,N
12/10/2024,02:00,10879.85,1415.82,6984.28,1534.96,11263.75,3005.68,6136.83,1064.94,42286.11,N
12/10/2024,03:00,10573.64,1384.78,7141.30,1673.07,11328.64,2956.08,6067.05,1014.64,42139.20,N
12/10/2024,04:00,10495.52,1381.12,7119.39,1552.15,11376.62,3022.24,6018.27,1023.48,41988.78,N
12/10/2024,05:00,10601.33,1448.28,7259.66,1591.46,11749.46,2984.92,6263.12,1075.50,42973.74,N
12/10/2024,06:00,10974.62,1563.34,7290.98,1629.39,12725.49,3111.70,6718.44,1127.79,45141.75,N
12/10/2024,07:00,11588.80,1737.66,7450.03,1742.82,14079.06,3378.35,7477.47,1230.02,48684.21,N
12/10/2024,08:00,11793.37,1786.35,7526.39,1820.32,14922.35,3334.86,7809.77,1258.86,50252.26,N
12/10/2024,09:00,11917.64,1749.30,7541.10,1775.57,14904.13,3322.10,7705.06,1219.13,50134.04,N
12/10/2024,10:00,12031.80,1725.03,7409.44,1746.90,14897.61,3359.54,7828.74,1236.30,50235.36,N
12/10/2024,11:00,12200.42,1698.12,7537.70,1812.18,14814.81,3567.30,7774.58,1267.37,50672.48,N
12/10/2024,12:00,12365.23,1697.95,8184.98,1762.12,14732.22,3591.49,7622.60,1189.95,51146.54,N
12/10/2024,13:00,12402.42,1708.72,8238.69,1725.11,14792.84,3578.63,7300.25,1148.39,50895.06,N
12/10/2024,14:00,12471.53,1691.47,7904.73,1752.00,14608.34,3593.75,7148.55,1210.93,50381.30,N
12/10/2024,15:00,12188.75,1671.86,7335.82,1705.57,14735.64,3401.21,7066.87,1158.96,49264.67,N
12/10/2024,16:00,12200.28,1692.76,7361.22,1720.63,15010.68,3412.84,7185.79,1114.35,49698.56,N
12/10/2024,17:00,12273.73,1777.04,7348.34,1697.40,15479.54,3472.96,7449.75,1112.62,50611.37,N
12/10/2024,18:00,12724.03,1938.10,7658.88,1737.91,16379.80,3534.75,8052.17,1204.03,53229.67,N
12/10/2024,19:00,12843.50,2046.74,7814.80,1803.13,16884.05,3720.05,8691.78,1401.95,55206.01,N
12/10/2024,20:00,12816.22,2068.48,7706.10,1807.87,16954.59,3792.42,8858.39,1475.78,55479.85,N
12/10/2024,21:00,12834.78,2083.11,7615.70,1803.33,16950.03,3790.81,8928.85,1554.85,55561.46,N
12/10/2024,22:00,12641.31,2030.60,7512.61,1768.96,16633.39,3720.24,8796.15,1602.56,54705.83,N
12/10/2024,23:00,12223.41,1962.29,7447.75,1692.26,16006.71,3673.33,8432.96,1589.44,53028.15,N
12/10/2024,24:00,11829.98,1904.36,7361.88,1647.42,15410.70,3519.87,8126.00,1557.00,51357.20,N
