datetime_col,ERCOT.LOAD_wind,ERCOT.WIND.GEN,Wind 1-hr MW change,Wind 1-hr % change,ERCOT.LOAD_solar,ERCOT.PVGR.GEN,Solar 1-hr MW change,Solar 1-hr % change
2022-12-11 02:00:00,36408.118138020836,3334.814835679796,-373.5708274332683,-10.073677911904886,36408.118138020836,0.3152450385938088,0.0,0.0
2022-12-11 03:00:00,35523.314192708334,3141.3571082221138,-193.45772745768227,-5.80115349697508,35523.314192708334,0.3108902256521914,0.0,0.0
2022-12-11 04:00:00,34965.81259548611,2834.9519813368056,-306.40512688530816,-9.753909419700506,34965.81259548611,0.3109389046827952,0.0,0.0
2022-12-11 05:00:00,34578.17881618923,2824.8406187608507,-10.1113625759549,-0.3566678604265792,34578.17881618923,0.31970871122346983,0.0,0.0
2022-12-11 06:00:00,34711.05197482639,2631.2125547960068,-193.62806396484393,-6.854477476671981,34711.05197482639,0.3236036033762826,0.0,0.0
2022-12-11 07:00:00,35170.27753472222,2320.4015020073784,-310.81105278862833,-11.812464645704953,35170.27753472222,0.33034293936358555,0.0,0.0
2022-12-11 08:00:00,36278.119136284724,2206.0889400227866,-114.31256198459187,-4.926413031783513,36278.119136284724,20.90286399556531,20.6,6235.943786080747
2022-12-11 09:00:00,37756.5088953993,2404.3541403537324,198.26520033094585,8.98718074026961,37756.5088953993,356.3106330362956,335.4,1604.5648102152772
2022-12-11 10:00:00,39433.36825954861,2040.8204591200088,-363.53368123372366,-15.119805985828695,39433.36825954861,1065.10466410319,708.8,198.92754643889563
2022-12-11 11:00:00,40652.55137586805,1717.61036851671,-323.2100906032988,-15.837262369599397,40652.55137586805,2292.06973578559,1227.0,115.19994619806914
2022-12-11 12:00:00,41834.30166883681,2078.9963887532554,361.3860202365454,21.04004650068748,41834.30166883681,3256.374123263889,964.3,42.071145783419766
2022-12-11 13:00:00,42304.9441015625,2250.4039786783856,171.4075899251302,8.24472764129816,42304.9441015625,3959.9816124131944,703.6,21.606853922999985
