SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY,Date,Hour,Minute,DayOfWeek,Month,IsWeekend,IsPeakHour,IsOffPeakHour,LoadChange,LoadChangePct,LoadMA4,LoadMA24,LoadStd4,LoadVolatility,LoadLag1,LoadLag4,LoadLag24
2025-04-15 06:00:16,N,43975.4508,-10.0,43985.4508,2025-04-15,6,0,1,4,0,0,0,478.09330000000045,0.010988791953177125,43248.76399,43967.07863291667,634.1098026068071,0.01466191733834119,43507.3575,42266.24446,49444.95908
2025-04-15 06:15:10,N,44976.43267,-35.7,45012.13267,2025-04-15,6,15,1,4,0,0,0,1026.6818700000003,0.02334139701485111,43870.31235,43850.65637208333,865.6384422200007,0.019731759266127056,43985.4508,42525.93923,47806.26693
2025-04-15 06:30:11,N,45394.42735,-71.2,45465.62735,2025-04-15,6,30,1,4,0,0,0,453.4946800000034,0.010074943200863969,44492.64208,43787.87417333334,902.6995636846368,0.020288738125767803,45012.13267,42976.30843,46972.40012
2025-04-15 06:45:11,N,46006.21536,-70.7,46076.91536,2025-04-15,6,45,1,4,0,0,0,611.2880099999966,0.013445058291931752,45135.031545000005,43768.61543874999,881.8689868669953,0.01953845952201816,45465.62735,43507.3575,46539.12499
2025-04-15 07:00:13,N,46064.33395,-102.4,46166.73395,2025-04-15,7,0,1,4,0,0,0,89.81859000000259,0.0019493186403266771,45680.352332500006,43764.96925375,543.5849053836789,0.011899752905297468,46076.91536,43985.4508,46254.24239
2025-04-15 07:15:10,N,46070.65185,-120.4,46191.05185,2025-04-15,7,15,1,4,0,0,0,24.317900000001828,0.0005267407485731796,45975.0821275,43780.128518749996,343.16542155985786,0.007464161142946462,46166.73395,45012.13267,45827.22949
2025-04-15 07:30:10,N,46111.00956,-120.4,46231.40956,2025-04-15,7,30,1,4,0,0,0,40.35770999999659,0.0008737127297090677,46166.52768,43824.065599166664,65.4255396344738,0.0014171639697047667,46191.05185,45465.62735,45176.91963
2025-04-15 07:45:11,N,46197.54124,-107.0,46304.54124,2025-04-15,7,45,1,4,0,0,0,73.1316799999986,0.001581861351319754,46223.43415,43877.837903750005,60.29232468019829,0.001304367055129293,46231.40956,46076.91536,45014.00593
2025-04-15 08:00:14,N,46315.59991,-101.1,46416.69991,2025-04-15,8,0,1,4,0,0,0,112.15867000000435,0.002422195901233042,46285.92564,43964.836687083334,99.03112181645798,0.0021395515039862555,46304.54124,46166.73395,44328.72911
2025-04-15 08:15:10,N,46739.81957,-91.1,46830.91957,2025-04-15,8,15,1,4,0,0,0,414.2196599999952,0.008923936014476459,46445.89257,44075.80435083333,267.75683134643066,0.005764919490843809,46416.69991,46191.05185,44167.69564
2025-04-15 08:30:11,N,47718.3989,-18.9,47737.2989,2025-04-15,8,30,1,4,0,0,0,906.3793300000034,0.019354292811722455,46822.364905,44228.69003291667,650.6106961160965,0.01389529763044113,46830.91957,46231.40956,44068.04253
2025-04-15 08:45:10,N,48202.39514,89.9,48112.49514,2025-04-15,8,45,1,4,0,0,0,375.1962399999975,0.007859603468264047,47274.35338,44420.49268875,785.0696747843017,0.016606671877112022,47737.2989,46304.54124,43509.2314
2025-04-15 09:00:13,N,49660.79267,198.7,49462.09267,2025-04-15,9,0,1,4,0,0,0,1349.597529999999,0.028050873812985103,48035.70157,44689.50360041667,1092.5555124781629,0.022744656094718155,48112.49514,46416.69991,43005.83079
2025-04-15 09:15:10,N,50240.8344,258.3,49982.5344,2025-04-15,9,15,1,4,0,0,0,520.4417299999986,0.010522032164556184,48823.6052775,44973.236885,1070.2837684172046,0.021921440711598513,49462.09267,46830.91957,43172.93557
2025-04-15 09:30:11,N,49890.2873,258.5,49631.7873,2025-04-15,9,30,1,4,0,0,0,-350.7470999999932,-0.007017393259674189,49297.2273775,45244.58545666666,819.0130434601015,0.016613774993640137,49982.5344,47737.2989,43119.42158
2025-04-15 09:45:10,N,50408.10431,226.7,50181.40431,2025-04-15,9,45,1,4,0,0,0,549.6170099999945,0.011073891147176045,49814.45467000001,45560.29365583334,326.81757451678504,0.006560697626458329,49631.7873,48112.49514,42604.40753
2025-04-15 10:00:14,N,50712.75183,155.0,50557.75183,2025-04-15,10,0,1,4,0,0,0,376.347520000003,0.007499740694283551,50088.36946,45910.676750000006,386.71420167705236,0.007720638660155985,50181.40431,49462.09267,42148.55757
2025-04-15 10:15:12,N,51868.9797,155.5,51713.4797,2025-04-15,10,15,1,4,0,0,0,1155.7278700000024,0.022859558191711676,50521.105785,46306.91343291666,881.1702343410024,0.017441626042211982,50557.75183,49982.5344,42203.79931
2025-04-15 10:30:12,N,51650.5548,155.7,51494.8548,2025-04-15,10,30,1,4,0,0,0,-218.62490000000253,-0.004227619206216411,50986.87266,46699.348017916665,734.6036561138196,0.014407701782622328,51713.4797,49631.7873,42076.42476
2025-04-15 10:45:11,N,51476.5922,155.9,51320.6922,2025-04-15,10,45,1,4,0,0,0,-174.1626000000033,-0.0033821359566199474,51271.6946325,47089.65513041667,502.3576392326628,0.009797952707305862,51494.8548,50181.40431,41953.3215
2025-04-15 11:00:18,N,51845.65837,156.9,51688.75837,2025-04-15,11,0,1,4,0,0,0,368.0661700000055,0.007171886313723679,51554.446267499996,47482.25987666667,183.95967003794613,0.003568260031024998,51320.6922,50557.75183,42266.24446
2025-04-15 11:15:12,N,51836.80468,188.7,51648.10468,2025-04-15,11,15,1,4,0,0,0,-40.65369000000646,-0.0007865093161843435,51538.1025125,47862.35010375,167.26752311860523,0.003245511863344917,51688.75837,51713.4797,42525.93923
2025-04-15 11:30:11,N,52157.42519,232.2,51925.22519,2025-04-15,11,30,1,4,0,0,0,277.12051000000065,0.005365550424685994,51645.69511,48235.22163541667,248.74632829570055,0.004816400045848866,51648.10468,51494.8548,42976.30843
2025-04-15 11:45:13,N,52391.94782,198.9,52193.04782,2025-04-15,11,45,1,4,0,0,0,267.8226300000024,0.005157852065542528,51863.784015,48597.12539875,251.22448342814326,0.004843928922646376,51925.22519,51320.6922,43507.3575
2025-04-15 12:00:19,N,51844.90893,175.2,51669.70893,2025-04-15,12,0,1,4,0,0,0,-523.3388899999991,-0.01002698466287802,51859.021655000004,48917.302820833334,255.7874541751588,0.004932361737882824,52193.04782,51688.75837,43985.4508
2025-04-15 12:15:13,N,52298.9259,257.6,52041.3259,2025-04-15,12,15,1,4,0,0,0,371.61697000000277,0.007192163023473854,51957.32696,49210.18587208333,220.88820745458673,0.004251338942525667,51669.70893,51648.10468,45012.13267
2025-04-15 12:30:11,N,52340.61311,253.4,52087.21311,2025-04-15,12,30,1,4,0,0,0,45.8872099999935,0.0008817455974924248,51997.82394,49486.08527875,227.78254787238092,0.004380616929954952,52041.3259,51925.22519,45465.62735
2025-04-15 12:45:12,N,52975.33812,244.2,52731.13812,2025-04-15,12,45,1,4,0,0,0,643.9250100000063,0.01236243929273271,52132.346515000005,49763.34456041667,440.79726930263297,0.008455350636783683,52087.21311,52193.04782,46076.91536
2025-04-15 13:00:17,N,53707.76254,248.8,53458.96254,2025-04-15,13,0,1,4,0,0,0,727.8244199999972,0.013802554732342218,52579.6599175,50067.187418333335,665.4387325620928,0.012655820399108666,52731.13812,51669.70893,46166.73395
2025-04-15 13:15:13,N,53298.50748,226.3,53072.20748,2025-04-15,13,15,1,4,0,0,0,-386.75506000000314,-0.007234615892716184,52837.3803125,50353.902236249996,581.8208485185835,0.011011538518326945,53458.96254,52041.3259,46191.05185
