OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
05/16/2024,01:00,13167.44,1484.55,6575.50,1529.85,13040.55,4342.40,7887.12,1017.91,49045.31,N
05/16/2024,02:00,12551.47,1389.16,6515.85,1444.98,12164.32,4123.58,7337.08,965.63,46492.07,N
05/16/2024,03:00,12077.96,1341.26,6467.03,1443.63,11504.11,3963.14,6998.38,960.80,44756.33,N
05/16/2024,04:00,11787.47,1334.80,6698.97,1407.64,11279.31,3754.11,6838.89,913.95,44015.16,N
05/16/2024,05:00,11773.88,1352.65,6725.46,1426.83,11132.89,3768.45,6845.20,923.69,43949.06,N
05/16/2024,06:00,12169.19,1407.76,6622.55,1477.78,11479.61,3846.37,7078.64,961.28,45043.19,N
05/16/2024,07:00,12720.29,1516.09,6553.17,1552.01,12297.63,4028.00,7564.53,1051.36,47283.08,N
05/16/2024,08:00,12977.60,1543.17,6435.54,1532.21,12747.43,4075.52,7797.91,1158.48,48267.87,N
05/16/2024,09:00,13597.38,1603.90,6552.19,1557.17,13172.60,4098.36,8223.94,1052.90,49858.45,N
05/16/2024,10:00,14398.21,1674.01,6478.94,1575.70,13657.42,4329.11,8393.07,1157.74,51664.20,N
05/16/2024,11:00,15138.86,1779.56,6537.89,1592.13,13893.41,4458.54,8778.18,1235.59,53414.16,N
05/16/2024,12:00,15734.68,1854.48,6629.21,1601.23,13724.97,4608.54,9043.57,1221.42,54418.10,N
05/16/2024,13:00,15990.67,1852.71,6669.79,1604.59,13481.46,4858.49,9246.70,1203.03,54907.44,N
05/16/2024,14:00,15966.40,1811.96,6350.29,1403.14,13173.17,5160.94,9435.14,1230.23,54531.27,N
05/16/2024,15:00,15674.42,1758.42,6674.72,1571.08,12900.41,5407.86,9462.78,1218.16,54667.85,N
05/16/2024,16:00,15537.93,1700.89,6824.02,1666.56,12703.43,5604.70,9323.62,1231.96,54593.12,N
05/16/2024,17:00,15540.57,1645.66,6659.02,1638.20,12502.74,5659.61,8926.04,1214.13,53785.96,N
05/16/2024,18:00,15597.45,1619.06,6263.42,1614.15,12479.99,5791.61,8576.65,1231.50,53173.82,N
05/16/2024,19:00,13336.93,1572.33,6055.42,1629.52,12438.83,5691.66,8097.06,1059.50,49881.25,N
05/16/2024,20:00,10990.30,1482.10,5656.60,1585.09,12317.17,5480.93,7941.53,983.56,46437.28,N
05/16/2024,21:00,10838.57,1501.85,5779.64,1570.28,12555.11,5311.34,7953.96,884.31,46395.05,N
05/16/2024,22:00,10796.07,1487.00,5825.36,1569.55,12477.80,5211.58,7917.91,998.81,46284.08,N
05/16/2024,23:00,10434.27,1411.08,6026.43,1549.04,11769.94,4922.19,7489.08,1058.26,44660.29,N
05/16/2024,24:00,9963.21,1320.26,6080.98,1510.53,10867.54,4552.38,7014.45,1082.24,42391.59,N
