OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
05/30/2024,01:00,14480.15,1680.04,6740.73,1576.16,13575.78,4376.99,8900.78,1352.00,52682.65,N
05/30/2024,02:00,13900.63,1606.26,6661.36,1487.43,12769.32,4242.74,8390.71,1397.57,50456.02,N
05/30/2024,03:00,13535.08,1559.33,6736.54,1465.75,12381.28,4067.32,8139.90,1190.68,49075.87,N
05/30/2024,04:00,13278.88,1604.27,6651.90,1419.26,11948.32,4014.95,7963.09,1149.92,48030.60,N
05/30/2024,05:00,13219.40,1553.26,6583.75,1385.62,11805.48,3862.12,7847.80,1128.27,47385.70,N
05/30/2024,06:00,13496.28,1566.87,6562.81,1399.83,12101.19,3917.56,8009.91,1129.94,48184.39,N
05/30/2024,07:00,13798.38,1613.89,6539.01,1460.44,12776.29,4027.42,8397.06,1198.02,49810.50,N
05/30/2024,08:00,14129.39,1676.19,6543.79,1503.33,13161.88,4080.82,8609.82,1209.85,50915.07,N
05/30/2024,09:00,14977.70,1738.53,6639.63,1568.70,13749.39,4344.60,8934.40,1386.88,53339.83,N
05/30/2024,10:00,16015.34,1877.45,6811.10,1598.82,14366.98,4566.32,9385.31,1413.84,56035.16,N
05/30/2024,11:00,17091.05,2006.40,6904.82,1635.32,14922.32,4775.14,9991.67,1481.29,58808.03,N
05/30/2024,12:00,18108.33,2096.83,7008.00,1590.74,15135.16,5085.11,10544.78,1547.09,61116.04,N
05/30/2024,13:00,18951.82,2267.77,7117.14,1661.89,15344.82,5497.64,11227.29,1593.48,63661.86,N
05/30/2024,14:00,19617.84,2339.54,7152.26,1741.59,15315.11,5714.50,11625.27,1573.40,65079.49,N
05/30/2024,15:00,20132.02,2358.02,7248.80,1686.51,14995.00,5951.33,12084.21,1597.13,66053.02,N
05/30/2024,16:00,20364.38,2330.12,6987.39,1569.90,14266.57,6076.67,12313.09,1594.26,65502.37,N
05/30/2024,17:00,20281.81,2262.19,6560.77,1425.44,13934.08,6174.04,12605.65,1703.46,64947.43,N
05/30/2024,18:00,19959.60,2166.80,6662.05,1487.32,13666.14,6117.29,12482.07,1638.10,64179.38,N
05/30/2024,19:00,19003.59,1963.27,6593.95,1627.08,13306.67,5921.63,12323.64,1546.37,62286.20,N
05/30/2024,20:00,18284.99,1772.29,6373.36,1679.59,13071.53,5686.42,11889.53,1576.37,60334.08,N
05/30/2024,21:00,17901.22,1732.76,6342.04,1568.99,13046.59,5521.20,11510.36,1514.43,59137.58,N
05/30/2024,22:00,16756.22,1634.07,6485.80,1496.70,13002.24,5365.67,11171.47,1507.31,57419.48,N
05/30/2024,23:00,15465.58,1562.50,6535.30,1548.07,12509.20,5144.00,10501.70,1424.80,54691.16,N
05/30/2024,24:00,14497.25,1466.29,6649.79,1473.29,11879.23,4929.86,9896.97,1316.63,52109.31,N
