OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
05/24/2024,01:00,14898.91,1723.36,6475.70,1578.52,13763.71,4898.41,9054.01,1332.81,53725.43,N
05/24/2024,02:00,14388.08,1652.21,6454.28,1443.24,13097.42,4676.35,8643.98,1282.99,51638.56,N
05/24/2024,03:00,14088.34,1602.79,6528.84,1444.01,12645.34,4410.16,8232.24,1241.44,50193.17,N
05/24/2024,04:00,13941.40,1591.13,6525.31,1415.82,12414.50,4446.68,8007.92,1242.40,49585.16,N
05/24/2024,05:00,13946.05,1613.72,6518.75,1439.77,12504.91,4370.20,7970.81,1237.80,49602.02,N
05/24/2024,06:00,14278.89,1642.92,6508.56,1487.86,12951.93,4239.45,8142.76,1255.57,50507.95,N
05/24/2024,07:00,14612.95,1714.61,6528.65,1546.82,13562.72,4372.92,8430.69,1281.24,52050.60,N
05/24/2024,08:00,14827.77,1786.92,6729.87,1595.97,13981.79,4403.47,8706.47,1306.53,53338.79,N
05/24/2024,09:00,15416.93,1873.62,6924.38,1667.59,14668.46,4561.86,8962.81,1394.12,55469.78,N
05/24/2024,10:00,16267.33,2016.34,6963.08,1757.50,15542.60,4891.82,9372.27,1522.17,58333.11,N
05/24/2024,11:00,17322.93,2181.68,6682.57,1748.39,16234.85,5171.83,9893.80,1587.55,60823.61,N
05/24/2024,12:00,18221.79,2283.99,6740.06,1850.74,17017.23,5540.45,10529.18,1650.40,63833.84,N
05/24/2024,13:00,19105.57,2449.36,6771.54,1843.43,17890.71,5828.52,10941.75,1664.86,66495.75,N
05/24/2024,14:00,19824.31,2568.92,6842.76,1935.30,18788.57,6166.76,11488.49,1712.48,69327.59,N
05/24/2024,15:00,20177.93,2640.30,6913.46,2029.38,19657.84,6281.94,11909.34,1740.43,71350.61,N
05/24/2024,16:00,20460.09,2642.72,6750.65,1965.27,20248.25,6430.91,12236.58,1815.48,72549.94,N
05/24/2024,17:00,20479.39,2584.74,6710.08,1956.45,20058.72,6502.86,12541.38,1861.15,72694.77,N
05/24/2024,18:00,20185.19,2485.51,6766.81,1963.86,19331.23,6426.76,12644.00,1865.27,71668.63,N
05/24/2024,19:00,19456.44,2433.45,6839.50,2047.22,18070.91,6228.82,12559.61,1858.48,69494.43,N
05/24/2024,20:00,18578.94,2306.29,6666.51,1911.61,17071.53,5987.66,12359.26,1817.80,66699.61,N
05/24/2024,21:00,17940.66,2213.02,6458.16,1694.82,16417.77,5792.58,12007.89,1753.72,64278.61,N
05/24/2024,22:00,17403.20,2056.36,6483.81,1705.73,15889.38,5651.83,11629.78,1667.33,62487.42,N
05/24/2024,23:00,16686.75,1953.02,6848.53,1717.15,14957.40,5442.32,11030.93,1489.85,60125.95,N
05/24/2024,24:00,16001.80,1811.06,7036.83,1657.64,13968.53,5159.28,10213.14,1294.67,57142.95,N
