OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
05/15/2024,01:00,12092.48,1392.89,6763.43,1485.14,11724.45,3834.06,7427.21,1046.16,45765.82,N
05/15/2024,02:00,11529.67,1307.19,6467.60,1413.47,10979.88,3624.36,7000.24,1020.61,43343.03,N
05/15/2024,03:00,11070.64,1241.85,6358.07,1367.21,10410.29,3553.01,6591.42,1005.01,41597.50,N
05/15/2024,04:00,10860.61,1238.41,6388.95,1348.67,10111.91,3357.03,6334.35,970.02,40609.96,N
05/15/2024,05:00,10890.04,1249.63,6369.88,1365.55,10195.37,3327.62,6268.74,955.66,40622.49,N
05/15/2024,06:00,11284.86,1242.80,6374.47,1375.38,10616.25,3426.44,6436.94,964.86,41721.99,N
05/15/2024,07:00,11756.45,1332.12,6429.66,1438.36,11459.33,3637.82,6817.20,1020.05,43890.99,N
05/15/2024,08:00,12082.09,1352.13,6348.72,1471.73,12048.39,3614.17,7043.25,1061.28,45021.76,N
05/15/2024,09:00,12877.36,1475.71,6427.72,1508.12,12538.33,3776.05,7341.38,1111.62,47056.28,N
05/15/2024,10:00,13712.84,1599.49,6472.72,1558.60,13316.80,3992.35,7817.87,1180.01,49650.69,N
05/15/2024,11:00,14607.17,1731.79,6554.35,1614.72,14283.43,4303.65,8301.93,1259.22,52656.26,N
05/15/2024,12:00,15550.49,1853.32,6600.88,1679.57,15305.46,4862.80,8771.24,1250.34,55874.10,N
05/15/2024,13:00,16473.78,2006.01,6490.05,1773.98,16237.75,5227.67,9387.70,1314.29,58911.23,N
05/15/2024,14:00,17442.28,2222.94,6625.77,1878.83,17145.99,5410.34,9968.86,1333.05,62028.05,N
05/15/2024,15:00,18184.04,2270.95,6734.50,1984.64,18093.07,5540.27,10478.40,1371.97,64657.83,N
05/15/2024,16:00,18889.52,2356.33,6716.02,2033.19,18745.08,5665.24,11090.19,1475.36,66970.93,N
05/15/2024,17:00,19116.22,2419.96,6793.12,2035.33,19364.75,5690.86,11438.36,1527.49,68386.08,N
05/15/2024,18:00,19040.46,2382.75,6805.02,2037.47,19216.55,5815.47,11679.84,1539.29,68516.84,N
05/15/2024,19:00,18248.92,2308.61,6843.28,2003.14,18656.89,5598.11,11455.22,1464.35,66578.53,N
05/15/2024,20:00,17302.36,2171.26,6845.56,1936.74,17894.63,5422.75,10965.59,1361.90,63900.78,N
05/15/2024,21:00,16661.58,2092.49,6855.49,1910.44,17451.19,5365.89,10560.36,1337.92,62235.36,N
05/15/2024,22:00,15963.34,1986.87,6816.10,1823.67,16826.78,5201.11,10124.13,1374.04,60116.03,N
05/15/2024,23:00,14969.38,1824.80,6751.87,1723.15,15683.61,4914.70,9361.38,1288.78,56517.66,N
05/15/2024,24:00,13964.33,1633.00,6665.19,1627.67,14325.32,4602.98,8530.91,1100.31,52449.69,N
