OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
05/13/2024,01:00,13318.60,1223.43,6082.54,1213.01,9748.29,4148.06,6955.07,1121.99,43810.99,N
05/13/2024,02:00,12828.61,1194.40,6440.62,1333.11,9387.94,4066.60,6662.75,1050.21,42964.24,N
05/13/2024,03:00,12557.56,1168.10,6272.95,1331.22,9193.14,3819.75,6438.19,1093.32,41874.22,N
05/13/2024,04:00,12451.91,1162.80,6063.33,1319.89,9104.10,3760.92,6315.68,1089.80,41268.42,N
05/13/2024,05:00,12563.73,1176.17,5887.64,1083.56,9428.82,3819.86,6369.94,1116.00,41445.72,N
05/13/2024,06:00,12960.19,1261.98,6020.31,1166.74,9854.05,3822.79,6635.75,1047.75,42769.56,N
05/13/2024,07:00,13484.18,1371.84,5903.22,1189.94,10855.41,4011.86,7057.30,1047.23,44920.98,N
05/13/2024,08:00,13798.22,1448.58,5847.01,1288.07,11477.79,4093.04,7307.01,1047.84,46307.56,N
05/13/2024,09:00,14367.44,1524.50,6297.92,1512.03,11807.87,4278.04,7672.26,1155.32,48615.38,N
05/13/2024,10:00,15030.88,1591.35,6396.02,1561.95,12369.99,4415.66,8139.42,1161.14,50666.41,N
05/13/2024,11:00,15859.06,1703.69,6508.11,1615.15,13121.30,4595.07,8337.14,1228.24,52967.77,N
05/13/2024,12:00,16517.31,1794.20,6776.00,1706.13,13573.64,4827.85,8336.58,1245.85,54777.56,N
05/13/2024,13:00,17178.01,1863.75,6834.65,1710.85,14152.66,5065.77,8326.96,1202.47,56335.12,N
05/13/2024,14:00,17430.57,1851.44,6600.23,1706.64,14551.33,5413.70,8247.75,1419.78,57221.42,N
05/13/2024,15:00,15861.04,1804.77,6755.81,1744.93,15090.12,5660.35,8007.52,1433.12,56357.66,N
05/13/2024,16:00,14763.67,1773.67,7059.68,1773.41,15525.13,5748.96,7904.55,1502.26,56051.32,N
05/13/2024,17:00,14163.06,1764.23,7076.85,1832.43,16065.42,5645.88,8155.49,1421.06,56124.40,N
05/13/2024,18:00,13664.84,1746.71,6946.05,1823.93,16410.75,5554.66,8484.40,1491.62,56122.96,N
05/13/2024,19:00,13287.94,1733.34,6877.90,1811.66,16398.51,5404.57,8810.89,1467.14,55791.94,N
05/13/2024,20:00,13272.18,1640.50,6729.32,1753.49,15997.00,5080.36,8902.05,1423.53,54798.42,N
05/13/2024,21:00,13386.47,1640.41,6292.18,1512.30,15443.09,4810.30,8790.63,1394.42,53269.81,N
05/13/2024,22:00,13215.15,1647.00,6279.72,1492.27,14774.28,4626.02,8552.20,1377.51,51964.14,N
05/13/2024,23:00,12600.04,1571.67,6490.03,1500.97,13504.82,4271.47,7948.37,1297.27,49184.64,N
05/13/2024,24:00,11925.35,1455.81,6707.65,1508.66,12172.75,3928.60,7268.86,1168.66,46136.34,N
