OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
08/11/2024,01:00,15801.14,1996.32,7243.06,1867.10,17422.06,4878.43,9993.61,1525.18,60726.89,N
08/11/2024,02:00,15109.82,1905.73,7126.82,1782.54,16514.09,4633.98,9423.66,1460.99,57957.62,N
08/11/2024,03:00,14537.71,1881.63,7052.47,1716.87,15744.05,4415.60,8956.93,1399.04,55704.29,N
08/11/2024,04:00,14148.60,1804.93,6982.25,1687.21,15183.69,4210.01,8741.41,1350.01,54108.11,N
08/11/2024,05:00,13856.46,1687.39,6942.69,1675.97,14761.20,4028.03,8487.34,1300.51,52739.59,N
08/11/2024,06:00,13709.00,1651.92,6884.33,1666.80,14564.99,3886.81,8226.59,1291.92,51882.35,N
08/11/2024,07:00,13561.41,1643.92,6918.37,1683.01,14385.18,3840.13,8116.60,1306.72,51455.34,N
08/11/2024,08:00,13567.76,1640.59,7021.88,1689.84,14367.82,3827.81,8116.26,1275.98,51507.94,N
08/11/2024,09:00,14715.97,1773.55,7321.90,1756.97,15267.39,4178.63,8637.55,1339.76,54991.72,N
08/11/2024,10:00,16017.30,1981.87,7168.78,1888.63,16620.02,4582.57,9395.51,1517.55,59172.23,N
08/11/2024,11:00,17270.59,2132.08,7165.37,1938.13,17888.96,4882.47,10127.59,1581.75,62986.95,N
08/11/2024,12:00,18454.01,2320.43,7238.45,2007.24,19487.95,5074.25,10820.77,1707.03,67110.13,N
08/11/2024,13:00,19501.29,2481.43,7307.47,2087.66,20998.57,5357.65,11653.06,1808.93,71196.06,N
08/11/2024,14:00,20337.38,2625.69,7305.90,2154.77,22366.71,5589.22,12368.93,1891.38,74639.98,N
08/11/2024,15:00,20885.56,2682.45,7351.62,2243.87,23456.58,5805.66,12940.10,1977.73,77343.57,N
08/11/2024,16:00,21269.65,2739.04,7402.86,2306.85,24207.08,5972.83,13427.47,2071.42,79397.20,N
08/11/2024,17:00,21459.29,2750.54,7488.73,2373.46,24570.35,6151.76,13775.02,2104.72,80673.87,N
08/11/2024,18:00,21402.43,2754.39,7516.08,2309.93,24645.77,6234.53,13943.43,2102.44,80909.00,N
08/11/2024,19:00,20909.96,2737.55,7451.58,2340.57,24213.40,6116.49,13773.41,2096.71,79639.68,N
08/11/2024,20:00,20153.83,2688.57,7347.61,2354.48,23283.85,5843.50,13362.68,1986.61,77021.14,N
08/11/2024,21:00,19674.14,2575.44,6868.43,2128.61,22134.20,5675.39,12797.58,1910.73,73764.50,N
08/11/2024,22:00,19057.73,2460.78,7207.14,2224.51,21386.10,5449.76,12251.89,1814.78,71852.69,N
08/11/2024,23:00,18068.38,2294.13,7145.37,2150.87,20110.71,5125.13,11448.39,1713.60,68056.57,N
08/11/2024,24:00,17007.18,2121.19,7140.66,2037.71,18681.17,4887.88,10624.40,1599.42,64099.61,N
