OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
08/14/2024,01:00,16042.20,2160.24,7096.45,2035.33,18920.34,4734.51,10119.48,1542.99,62651.54,N
08/14/2024,02:00,15317.01,2046.33,7003.01,1943.43,17837.11,4599.14,9550.21,1466.62,59762.85,N
08/14/2024,03:00,14855.24,1984.86,6987.05,1890.79,17099.88,4343.45,9247.22,1409.86,57818.34,N
08/14/2024,04:00,14597.98,1976.75,6941.29,1850.39,16462.34,4218.85,8947.20,1373.61,56368.41,N
08/14/2024,05:00,14530.86,1860.49,6923.60,1833.99,16226.93,4150.08,8765.64,1345.29,55636.88,N
08/14/2024,06:00,14761.44,1886.60,7071.99,1884.87,16494.34,4107.34,8766.11,1321.08,56293.77,N
08/14/2024,07:00,15109.59,1975.03,7085.50,1939.01,16955.58,4234.02,9062.58,1373.27,57734.59,N
08/14/2024,08:00,15266.23,1948.42,6926.21,1908.65,16965.19,4208.08,9143.17,1393.76,57759.71,N
08/14/2024,09:00,16311.65,2095.65,7055.49,1908.96,18002.27,4353.19,9545.62,1461.04,60733.89,N
08/14/2024,10:00,17509.49,2309.92,7316.10,2066.00,19347.14,4596.34,10118.42,1631.72,64895.12,N
08/14/2024,11:00,18548.69,2493.92,7383.27,2129.21,20820.69,4918.95,10792.79,1687.60,68775.12,N
08/14/2024,12:00,19683.47,2705.88,7179.36,2210.84,22204.43,5257.23,11471.76,1805.19,72518.14,N
08/14/2024,13:00,20759.00,2918.26,7234.09,2295.42,23604.54,5586.76,12184.35,1854.03,76436.46,N
08/14/2024,14:00,21563.11,3048.68,7395.91,2412.26,24798.92,5870.75,12826.25,1935.48,79851.36,N
08/14/2024,15:00,22034.34,3112.98,7473.43,2359.24,25873.90,6102.23,13373.87,1993.98,82323.97,N
08/14/2024,16:00,22211.60,3084.37,7091.45,2328.60,26296.24,6300.45,13616.76,2096.25,83025.73,N
08/14/2024,17:00,22030.96,3062.07,6835.56,2387.23,26439.92,6420.73,13698.81,2094.42,82969.68,N
08/14/2024,18:00,21535.45,3057.66,6684.48,2392.03,26571.61,6467.34,13791.59,2116.36,82616.52,N
08/14/2024,19:00,20694.75,3088.97,6611.36,2356.47,26302.62,6307.27,13849.94,2112.07,81323.45,N
08/14/2024,20:00,19721.15,3034.93,6614.35,2287.77,25223.02,6057.32,13454.86,1991.36,78384.75,N
08/14/2024,21:00,19279.76,2942.54,6729.08,2273.59,24222.07,5921.03,13021.11,1904.75,76293.93,N
08/14/2024,22:00,18767.52,2696.68,7102.91,2325.25,23371.54,5744.36,12551.44,1855.85,74415.57,N
08/14/2024,23:00,17888.90,2481.38,7022.42,2180.21,21803.98,5440.46,11674.13,1713.70,70205.18,N
08/14/2024,24:00,16982.58,2327.18,6962.01,2047.15,20160.61,5120.26,10759.87,1596.84,65956.51,N
