OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
08/29/2024,01:00,14103.42,1788.36,6989.78,1838.90,16630.69,3882.90,8045.19,1228.98,54508.22,N
08/29/2024,02:00,13613.04,1790.67,6835.85,1755.44,15531.27,3760.81,7569.63,1204.92,52061.63,N
08/29/2024,03:00,13271.99,1756.24,6839.29,1681.94,14747.62,3674.38,7249.65,1184.37,50405.48,N
08/29/2024,04:00,13092.22,1722.18,6873.87,1640.99,14301.72,3622.99,7121.52,1147.80,49523.29,N
08/29/2024,05:00,13185.80,1747.12,6874.62,1617.01,14089.26,3562.95,7130.66,1137.66,49345.08,N
08/29/2024,06:00,13587.62,1716.34,6860.36,1643.59,14396.82,3650.50,7363.51,1168.93,50387.67,N
08/29/2024,07:00,14085.79,1855.80,6802.65,1704.62,15089.29,3824.40,7841.98,1246.14,52450.67,N
08/29/2024,08:00,14165.58,1869.66,6803.57,1737.28,15466.93,3875.76,8178.14,1291.22,53388.14,N
08/29/2024,09:00,14696.55,1898.74,7183.51,1826.60,15901.57,4064.67,8349.81,1332.62,55254.06,N
08/29/2024,10:00,15693.96,1946.70,7106.20,1884.52,17020.57,4354.65,8756.20,1295.02,58057.83,N
08/29/2024,11:00,16429.88,2084.71,6984.46,1965.75,18340.48,4643.95,9227.04,1364.93,61041.19,N
08/29/2024,12:00,16640.70,2257.21,7058.07,2089.49,19942.67,4939.75,9933.09,1485.30,64346.29,N
08/29/2024,13:00,16010.99,2325.76,7185.63,2229.16,21258.37,5203.91,10529.66,1559.30,66302.78,N
08/29/2024,14:00,16098.07,2277.47,7237.81,2349.04,22344.50,5503.72,11126.56,1660.39,68597.56,N
08/29/2024,15:00,16829.88,2303.32,7338.95,2364.96,22456.43,5711.66,11558.11,1744.96,70308.28,N
08/29/2024,16:00,17683.80,2320.82,7409.08,2349.78,22210.70,5789.24,12039.15,1831.49,71634.07,N
08/29/2024,17:00,18229.88,2362.58,7443.11,2275.44,22365.07,5839.60,12571.62,1910.63,72997.92,N
08/29/2024,18:00,17926.76,2463.00,7136.07,2106.96,22682.84,5795.42,12797.79,1949.51,72858.34,N
08/29/2024,19:00,17222.70,2383.89,7017.05,2173.83,22371.83,5641.08,12720.88,1920.61,71451.86,N
08/29/2024,20:00,16640.59,2330.71,6698.18,1982.15,21530.17,5406.29,12330.08,1866.27,68784.44,N
08/29/2024,21:00,16426.75,2291.09,6582.17,1940.65,20961.68,5301.94,11945.55,1827.31,67277.14,N
08/29/2024,22:00,15998.99,2158.46,6897.16,2038.71,20157.28,5130.37,11386.22,1788.87,65556.07,N
08/29/2024,23:00,15326.93,2047.31,6783.28,1937.40,18774.23,4824.68,10592.56,1643.53,61929.91,N
08/29/2024,24:00,14545.09,1898.77,6930.27,1835.14,17205.05,4522.03,9845.96,1436.47,58218.77,N
