SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-WGR,SUM  HASL NON-WGR,SUM  LASL NON-WGR,SUM  BASE POINT WGR,SUM  HASL  WGR,SUM  LASL WGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
04/15/2025 00:00:13,N,785.13122844,1889.17423673,470.00078819,13389.96526873,13544.62529528,.1,3.09514504,828.88199946,0,14465.69859
04/15/2025 00:15:12,N,633.76472234,1575.24365659,310.29755638,13469.89662259,13592.7655248,.1,67.76555799,667.12200495,0,14094.66641
04/15/2025 00:30:11,N,605.87397813,1888.79468258,470.35753868,13880.66289377,13989.14060449,.1,67.52873115,752.19700047,0,14671.34158
04/15/2025 00:45:13,N,606.25156497,1890.84338577,470.73502586,14030.17160558,14123.11116552,.1,142.11004529,762.67599588,0,14694.85855
04/15/2025 01:00:14,N,573.26496505,1669.48619313,471.55999229,13822.81875199,13958.43691986,.1,39.63768872,1041.38800436,0,14524.27263
04/15/2025 01:15:12,N,572.99123001,1514.14001842,311.42504356,13944.34676313,14048.09966993,.1,152.9283246,868.74100261,0,14541.92573
04/15/2025 01:30:12,N,574.242733,1515.69048877,312.72820519,13207.37102115,13304.52911365,.1,138.14463424,952.94500213,0,13798.69076
04/15/2025 01:45:12,N,577.21514892,1519.3698618,313.8749337,13429.49401772,13496.5981971,.1,5.80826248,1039.21300321,0,13998.04798
04/15/2025 02:00:13,N,563.95853499,1309.56468148,314.78429649,13287.05324172,13367.462574,.1,119.04330612,1347.49499851,0,13885.3113
04/15/2025 02:15:11,N,564.88039465,1362.92409988,315.45185326,13303.08224201,13392.72089099,.1,16.64059108,1137.84834605,0,13847.90335
04/15/2025 02:30:11,N,565.40397581,1409.93809505,314.96702049,13292.69764232,13349.43520259,.1,21.98453191,1262.79799157,0,13889.1348
04/15/2025 02:45:11,N,565.51597025,1409.63815422,314.97143028,13026.40900599,13034.07905375,.33388528,21.64315648,1362.79199486,0,13631.15075
04/15/2025 03:00:15,N,618.18997955,1667.86288686,314.74375389,12165.92950856,12182.59096181,.1,7.5542426,990.99799615,0,12727.07421
04/15/2025 03:15:11,N,631.50683224,1649.65949745,315.36280296,12164.94279509,12268.95995742,.1,15.32985504,990.59799653,0,12872.1873
04/15/2025 03:30:11,N,634.01011359,1664.37843557,316.41181419,12454.23019218,12582.24656486,.1,.53483398,990.59799653,0,13038.7951
04/15/2025 03:45:13,N,635.52679276,1665.3010418,316.96517418,12096.31673526,12135.32156848,.1,.46354664,990.19799643,0,12691.09405
04/15/2025 04:00:15,N,660.33784937,1396.52656694,317.34318016,11621.02246001,11811.27517607,.1,42.06404363,1272.10100013,0,12352.28903
04/15/2025 04:15:12,N,663.10793948,1379.97938175,317.8396096,11693.12696392,11829.84963829,.1,19.28241578,1362.7950018,0,12354.5518
04/15/2025 04:30:13,N,657.88036882,1391.68904801,318.01600121,11875.89421132,12051.93763783,.1,30.62050613,1362.39200192,0,12533.96534
04/15/2025 04:45:10,N,623.90357208,1390.814604,317.42890404,12183.497152,12245.11155095,.1,15.34424642,1361.59500199,0,12848.47361
04/15/2025 05:00:11,N,624.26636505,1770.144237,317.97672508,11980.94823774,11980.94823774,.1,33.79291068,847.89199858,0,12620.71475
04/15/2025 05:15:11,N,616.63077545,1765.95280619,318.38869713,11795.25094771,11795.25094771,.1,.32368841,847.49499875,0,12454.35425
04/15/2025 05:30:11,N,627.07376098,1766.89879365,318.36455772,11196.64185225,11196.64185225,.1,.53662301,846.69199877,0,11890.6176
04/15/2025 05:45:10,N,626.14324951,1766.60828133,318.26429222,10745.7483595,10745.7483595,.1,75.35462834,845.89199858,0,11466.79952
04/15/2025 06:00:16,N,778.74916839,1326.24319716,318.67193077,10324.48722317,10324.48722317,.32999999,50.42585054,1408.99200516,0,10943.32361
04/15/2025 06:15:10,N,836.34738292,1234.89513893,318.6126046,9653.51938503,9653.51938503,.1,152.98261179,1412.83800545,0,10641.52415
