SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
04/15/2025 19:15:10,N,1448.70000028,5598.77699507,2799.36282624
04/15/2025 19:30:11,N,1446.70000028,5588.89053893,2793.3829245
04/15/2025 19:45:10,N,1446.70000028,5577.61792898,2788.2
04/15/2025 20:00:15,N,1425.70000028,5652.60574984,3202
04/15/2025 20:15:10,N,1425.70000028,5649.60890531,3201.5
04/15/2025 20:30:11,N,1425.70000028,5649.38173437,3203.1
04/15/2025 20:45:10,N,1425.70000028,5502.02586603,3202.7
04/15/2025 21:00:11,N,1367.70000028,5411.42239427,3782.8
04/15/2025 21:15:12,N,1369.70000028,5326.51055938,3799.78900108
04/15/2025 21:30:10,N,1367.70000028,5287.03790599,3784.77500014
04/15/2025 21:45:10,N,1367.70000028,5267.67816191,3785.08700011
04/15/2025 22:00:15,N,1366.70000028,5060.06353265,3083.4
04/15/2025 22:15:10,N,1366.70000028,5024.85160833,3083.3
04/15/2025 22:30:11,N,1366.70000028,5002.71764856,3090.5
04/15/2025 22:45:09,N,1366.70000028,4999.02947527,3091
04/15/2025 23:00:12,N,1366.70000028,5193.14208132,2725.1
04/15/2025 23:15:09,N,1368.70000028,5194.66827088,2726.6
04/15/2025 23:30:11,N,1366.70000028,5197.41567021,2725.5
04/15/2025 23:45:10,N,1366.70000028,5209.21307116,2726.3
