SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
04/15/2025 20:45:10,N,1373.20000076,4810.87800145,592.679
04/15/2025 21:00:11,N,1375.20000076,4851.01800161,1264.26699999
04/15/2025 21:15:12,N,1374.09999847,4746.85023951,1259.381
04/15/2025 21:30:10,N,1376.09999847,4706.57800221,1261.281
04/15/2025 21:45:10,N,1528.09999847,4893.17052388,1266.56699999
04/15/2025 22:00:15,N,1527.09999847,4419.0373795,497.37299999
04/15/2025 22:15:10,N,1530.40000152,4418.48675847,502.97
04/15/2025 22:30:11,N,1526.40000152,4381.3231976,494.37599999
04/15/2025 22:45:09,N,1534.40000152,4389.02158665,502.78
04/15/2025 23:00:12,N,1533.40000152,4385.58534169,280.982
04/15/2025 23:15:09,N,1535.30000305,4387.71854329,284.77499999
04/15/2025 23:30:11,N,1537.30000305,4389.64649987,284.781
04/15/2025 23:45:10,N,1535.30000305,4387.74124169,284.07799999
