Time,Coal and Lignite,Hydro,Nuclear,Power Storage,Solar,Wind,Natural Gas,Other
2025-04-10 00:04:57-05:00,7631.1171875,0.0,5064.47607421875,478.184326171875,0.138162419199944,14488.2255859375,16548.324062347412,0.0
2025-04-10 00:09:57-05:00,7603.865234375,0.0,5067.85498046875,420.324188232422,0.151078015565872,14292.46484375,16611.666267395012,0.0
2025-04-10 00:14:57-05:00,7612.78271484375,0.0,5065.01171875,226.937927246094,0.154491320252419,13965.8095703125,16794.4027671814,0.0
2025-04-10 00:19:57-05:00,7604.841796875,0.0,5066.90234375,177.439300537109,0.136588841676712,13760.1005859375,16847.910778045654,0.0
2025-04-10 00:24:57-05:00,7616.9755859375,0.0,5065.0732421875,305.092864990234,0.156295925378799,13396.7353515625,16913.264127731327,0.0
2025-04-10 00:29:57-05:00,7600.5263671875,0.0,5066.72802734375,283.408660888672,0.146348550915718,13071.1953125,16898.695343494415,0.0
2025-04-10 00:34:57-05:00,7620.52197265625,0.0,5064.38134765625,243.475433349609,0.142609938979149,12851.2431640625,16945.61198329925,0.0
2025-04-10 00:39:57-05:00,7617.71630859375,0.0,5066.1533203125,282.884704589844,0.155881851911545,12645.67578125,17114.84191989899,0.0
2025-04-10 00:44:57-05:00,7612.07080078125,0.0,5065.8935546875,199.679977416992,0.316951751708984,12404.7734375,17158.096645832058,0.0
2025-04-10 00:49:57-05:00,7610.4453125,0.0,5067.765625,245.831176757813,0.180383160710335,12298.88671875,17145.002422809604,0.0
2025-04-10 00:54:57-05:00,7608.54931640625,0.0,5065.31103515625,348.607940673828,0.125716373324394,12083.5810546875,17209.614613533024,0.0
2025-04-10 00:59:57-05:00,7632.76123046875,0.0,5065.62939453125,280.853820800781,0.142630308866501,11988.166015625,17149.305703163136,0.0
2025-04-10 01:04:57-05:00,7601.4111328125,0.0,5065.3720703125,158.694351196289,0.140951439738274,11686.037109375,17277.85141086579,0.0
2025-04-10 01:09:57-05:00,7595.685546875,0.0,5065.373046875,128.835678100586,0.140471562743187,11616.873046875,17305.082437515262,0.0
2025-04-10 01:14:57-05:00,7614.22216796875,0.0,5068.03173828125,216.875411987305,0.152786463499069,11487.181640625,17335.48423099517,0.0
2025-04-10 01:19:57-05:00,7618.5556640625,0.0,5067.03955078125,193.948684692383,0.140831232070923,11335.224609375,17413.191581726078,0.0
2025-04-10 01:24:57-05:00,7648.0830078125,0.0,5066.4228515625,126.531044006348,0.138972461223602,11193.306640625,17465.47936630249,0.0
2025-04-10 01:29:57-05:00,7668.955078125,0.0,5066.654296875,115.55265045166,0.152589038014412,11103.0947265625,17332.212574481975,0.0
2025-04-10 01:34:57-05:00,7694.3388671875,0.0,5064.74755859375,164.841247558594,0.156806796789169,11011.4931640625,17480.72636556625,0.0
2025-04-10 01:39:57-05:00,7722.15478515625,0.0,5066.1044921875,143.286849975586,0.149204939603806,10907.8408203125,17383.227603435516,0.0
2025-04-10 01:44:57-05:00,7726.9736328125,0.0,5064.51025390625,150.605895996094,0.14695531129837,10866.880859375,17271.33693504334,0.0
2025-04-10 01:49:57-05:00,7743.3720703125,0.0,5066.83935546875,119.810134887695,0.144129276275635,10855.83203125,17269.16177463532,0.0
2025-04-10 01:54:57-05:00,7730.55126953125,0.0,5066.03857421875,140.867050170898,0.272371202707291,10857.8662109375,17272.931802749623,0.0
2025-04-10 01:59:57-05:00,7768.96533203125,0.0,5066.8916015625,158.95100402832,0.280161470174789,10932.033203125,17455.445130348206,0.0
2025-04-10 02:04:57-05:00,7810.68359375,0.0,5066.19921875,94.058349609375,0.283078491687775,10909.2998046875,17483.29581546783,0.0
2025-04-10 02:09:57-05:00,7853.97265625,0.0,5065.185546875,128.485427856445,0.287327498197556,10872.103515625,17490.833960533146,0.0
2025-04-10 02:14:57-05:00,7868.5029296875,0.0,5067.86279296875,116.14608001709,0.279074609279633,10899.787109375,17444.340379714973,0.0
2025-04-10 02:19:57-05:00,7888.39990234375,0.0,5064.31591796875,102.548278808594,0.286662995815277,10908.3798828125,17466.102817535397,0.0
2025-04-10 02:24:57-05:00,7899.86474609375,0.0,5065.65673828125,104.628128051758,0.273297965526581,10809.1708984375,17322.051269531254,0.0
2025-04-10 02:29:57-05:00,7885.6650390625,0.0,5065.93408203125,102.098045349121,0.280725955963135,10837.11328125,17258.999589920048,0.0
2025-04-10 02:34:57-05:00,7877.88427734375,0.0,5064.71240234375,94.7838973999023,0.279479414224625,10862.7314453125,17079.84256744385,0.0
2025-04-10 02:39:57-05:00,7905.6494140625,0.0,5066.12158203125,106.706512451172,0.283722847700119,10762.2216796875,17015.044269561775,0.0
2025-04-10 02:44:57-05:00,7894.955078125,0.0,5066.8662109375,131.198287963867,0.280000030994415,10678.8994140625,16957.364379882816,0.0
2025-04-10 02:49:57-05:00,7886.14892578125,0.0,5067.931640625,103.757713317871,0.287277966737747,10649.6923828125,16964.579452514645,0.0
2025-04-10 02:54:57-05:00,7884.14697265625,0.0,5065.47412109375,116.078735351563,0.272835463285446,10552.6142578125,16937.688491821293,0.0
2025-04-10 02:59:57-05:00,7888.29736328125,0.0,5066.7802734375,115.471321105957,0.272233486175537,10471.4912109375,16889.025787353512,0.0
2025-04-10 03:04:57-05:00,7882.31787109375,0.0,5067.80810546875,120.283744812012,0.283994913101196,10430.6162109375,16629.474021911617,0.0
2025-04-10 03:09:57-05:00,7879.00048828125,0.0,5065.41748046875,129.945068359375,0.27296507358551,10402.73046875,16561.340339660645,0.0
