OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
02/17/2024,01:00,9602.68,1494.47,6389.89,1606.92,12531.28,2915.50,6135.31,1340.45,42016.49,N
02/17/2024,02:00,9345.65,1485.89,6374.94,1606.38,12507.24,2770.87,5986.04,1373.96,41450.97,N
02/17/2024,03:00,9212.05,1496.74,6451.61,1617.14,12763.54,2618.26,5993.40,1297.73,41450.47,N
02/17/2024,04:00,9136.42,1521.62,6424.08,1623.71,12951.09,2583.12,6122.78,1330.74,41693.56,N
02/17/2024,05:00,9234.08,1573.69,6482.24,1644.10,13331.73,2760.42,6269.67,1299.99,42595.91,N
02/17/2024,06:00,9463.59,1656.07,6519.88,1684.26,14095.54,2943.61,6588.99,1322.61,44274.55,N
02/17/2024,07:00,9890.13,1733.82,6541.42,1718.73,15039.41,2913.82,7117.51,1403.06,46357.91,N
02/17/2024,08:00,10342.72,1900.82,6602.14,1666.07,15891.74,3029.94,7582.53,1449.98,48465.93,N
02/17/2024,09:00,10926.09,2019.14,6660.87,1628.01,16681.11,3283.63,8076.20,1542.54,50817.57,N
02/17/2024,10:00,11445.93,2150.58,6644.44,1670.39,16858.61,3486.74,8602.62,1628.97,52488.27,N
02/17/2024,11:00,11735.36,2141.73,6646.07,1592.55,16515.54,3671.54,8921.30,1640.96,52865.06,N
02/17/2024,12:00,11873.45,2104.48,6573.82,1535.06,15933.10,3765.16,8997.05,1610.73,52392.84,N
02/17/2024,13:00,11897.94,2051.18,6498.10,1507.40,15233.28,3853.28,8835.18,1532.72,51409.08,N
02/17/2024,14:00,11948.26,1989.24,6496.02,1482.96,14454.43,3926.10,8469.71,1361.41,50128.13,N
02/17/2024,15:00,11919.79,1934.53,6471.43,1474.71,14016.10,3962.95,7909.33,1280.56,48969.41,N
02/17/2024,16:00,12011.16,1879.35,6522.17,1483.15,14024.14,3982.57,7619.65,1188.52,48710.72,N
02/17/2024,17:00,12148.13,1916.55,6520.72,1541.89,14172.84,4046.71,7579.69,1176.27,49102.79,N
02/17/2024,18:00,12275.57,1967.92,6513.25,1577.01,14558.43,4072.41,7839.40,1270.41,50074.40,N
02/17/2024,19:00,12585.82,2072.79,6558.54,1695.33,15443.22,4192.24,8387.92,1432.35,52368.20,N
02/17/2024,20:00,12689.57,2154.22,6494.45,1830.44,15840.81,4287.27,8697.25,1495.09,53489.09,N
02/17/2024,21:00,12675.86,2173.82,6610.76,1918.87,15889.04,4297.99,8846.87,1505.12,53918.32,N
02/17/2024,22:00,12581.17,2172.45,6590.26,1908.41,15833.46,4207.37,8916.07,1526.67,53735.86,N
02/17/2024,23:00,12355.77,2122.85,6457.08,1888.07,15518.07,4171.05,8727.92,1568.62,52809.43,N
02/17/2024,24:00,12027.09,2069.02,6402.37,1845.92,15193.38,4173.48,8541.98,1596.74,51849.97,N
