OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
02/16/2024,01:00,9696.87,1260.43,6104.47,1300.99,9958.90,2905.26,5966.31,1254.53,38447.76,N
02/16/2024,02:00,9456.24,1218.73,6154.90,1289.11,9705.02,2841.38,5779.72,1216.96,37662.07,N
02/16/2024,03:00,9325.74,1204.13,6138.10,1286.02,9541.47,2626.72,5672.94,1242.99,37038.11,N
02/16/2024,04:00,9307.47,1220.61,6153.87,1288.17,9470.87,2649.13,5645.66,1240.42,36976.19,N
02/16/2024,05:00,9405.08,1251.79,6141.94,1308.89,9660.47,2761.83,5734.58,1269.29,37533.86,N
02/16/2024,06:00,9854.42,1354.32,6189.45,1380.17,10201.84,2905.84,5967.63,1318.15,39171.83,N
02/16/2024,07:00,10464.51,1448.20,6229.37,1471.46,11203.61,3131.58,6500.00,1402.57,41851.31,N
02/16/2024,08:00,10806.09,1534.58,6194.41,1445.73,11798.46,3197.00,6832.05,1502.55,43310.87,N
02/16/2024,09:00,11069.45,1556.56,6045.93,1380.79,11994.21,3295.60,7011.99,1549.50,43904.02,N
02/16/2024,10:00,11367.40,1599.13,5954.27,1381.02,12218.20,3313.37,7148.40,1662.93,44644.74,N
02/16/2024,11:00,11483.96,1650.91,5917.59,1354.34,12162.55,3355.44,7085.66,1735.33,44745.78,N
02/16/2024,12:00,11536.19,1622.38,6002.38,1327.73,12033.33,3364.43,6954.67,1652.78,44493.88,N
02/16/2024,13:00,11557.85,1600.79,6028.97,1303.96,12032.72,3360.13,6934.72,1612.36,44431.48,N
02/16/2024,14:00,11566.40,1569.93,6148.05,1293.44,11994.32,3384.49,7078.99,1516.51,44552.13,N
02/16/2024,15:00,11529.83,1576.82,6173.75,1286.54,11812.54,3403.92,7096.43,1468.33,44348.16,N
02/16/2024,16:00,11475.31,1549.54,6224.67,1269.37,11758.96,3362.22,7160.72,1400.53,44201.31,N
02/16/2024,17:00,11339.73,1562.99,6316.56,1269.87,11840.67,3378.54,7204.18,1237.24,44149.78,N
02/16/2024,18:00,11295.18,1554.71,6256.67,1301.67,12186.88,3375.04,7247.70,1181.60,44399.45,N
02/16/2024,19:00,11371.30,1614.28,6274.69,1388.55,12691.48,3431.73,7366.74,1113.21,45251.99,N
02/16/2024,20:00,11275.69,1587.19,6365.65,1520.54,12903.91,3534.44,7325.38,1194.87,45707.66,N
02/16/2024,21:00,11041.79,1579.77,6333.67,1642.89,13021.91,3400.56,7149.45,1299.98,45470.01,N
02/16/2024,22:00,10684.71,1570.28,6403.74,1635.91,13068.72,3334.19,6941.86,1317.36,44956.76,N
02/16/2024,23:00,10372.31,1547.75,6500.28,1618.59,12940.53,3234.31,6688.25,1297.91,44199.92,N
02/16/2024,24:00,9985.05,1487.25,6459.11,1617.22,12707.24,3049.75,6389.21,1288.51,42983.34,N
