OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
02/01/2024,01:00,9476.59,1339.09,6261.84,1299.62,10130.16,2818.04,6210.39,982.09,38517.82,N
02/01/2024,02:00,9290.42,1322.35,6203.76,1284.46,9868.29,2740.65,6127.11,996.53,37833.57,N
02/01/2024,03:00,9222.16,1314.91,6194.93,1296.07,9791.99,2707.12,6089.16,965.12,37581.46,N
02/01/2024,04:00,9251.13,1332.75,6232.00,1304.37,9884.59,2694.12,6201.43,932.94,37833.33,N
02/01/2024,05:00,9461.92,1391.21,6291.70,1318.48,10239.24,2699.44,6383.23,968.84,38754.05,N
02/01/2024,06:00,10013.12,1489.53,6286.76,1395.93,11090.49,2802.53,6818.90,1035.00,40932.24,N
02/01/2024,07:00,10783.61,1711.13,6320.58,1513.62,12644.50,3101.45,7525.83,1080.73,44681.45,N
02/01/2024,08:00,11139.88,1775.11,6402.33,1553.97,13363.48,3159.21,7877.42,1083.68,46355.07,N
02/01/2024,09:00,11192.16,1725.76,6334.19,1553.69,13407.36,3079.24,7787.78,1092.80,46172.98,N
02/01/2024,10:00,11170.46,1564.10,6332.24,1471.82,13156.92,3024.02,7356.45,1076.01,45152.03,N
02/01/2024,11:00,11121.07,1583.98,6437.90,1464.16,12616.30,3061.83,6929.59,1039.59,44254.41,N
02/01/2024,12:00,11096.16,1590.20,6346.83,1420.40,12141.83,3109.40,6759.41,1015.41,43479.62,N
02/01/2024,13:00,11126.40,1555.51,6484.26,1363.83,12036.64,3171.53,6641.26,1016.48,43395.90,N
02/01/2024,14:00,11129.82,1455.95,6381.81,1358.49,11884.88,3329.90,6770.79,1090.57,43402.20,N
02/01/2024,15:00,11123.19,1437.23,6316.01,1364.64,11664.79,3416.87,6852.87,1183.68,43359.26,N
02/01/2024,16:00,11084.66,1463.47,6272.44,1360.73,11556.36,3505.21,6760.98,1166.67,43170.53,N
02/01/2024,17:00,11126.81,1452.10,6252.79,1357.87,11735.20,3575.97,6838.77,1176.61,43516.13,N
02/01/2024,18:00,11090.71,1448.58,6316.84,1361.54,11933.28,3534.66,7084.02,1066.66,43836.30,N
02/01/2024,19:00,11250.71,1585.31,6477.18,1414.55,12467.35,3592.79,7415.02,1056.92,45259.82,N
02/01/2024,20:00,11221.09,1606.11,6527.40,1436.63,12584.15,3609.74,7444.25,999.59,45428.96,N
02/01/2024,21:00,11071.01,1601.74,6484.59,1434.67,12448.59,3615.93,7347.02,961.63,44965.18,N
02/01/2024,22:00,10853.07,1558.19,6392.94,1415.01,12069.57,3521.08,7084.50,1013.22,43907.59,N
02/01/2024,23:00,10399.58,1471.70,6492.32,1376.43,11409.63,3315.27,6635.62,987.35,42087.90,N
02/01/2024,24:00,9876.37,1378.58,6400.74,1327.23,10727.07,2995.47,6236.22,1024.29,39965.97,N
