Delivery Date,Hour Ending,Repeated Hour Flag,REGDN,REGUP ,RRS,NSPIN,ECRS
01/02/2025,11:00,N,0.79,1.5,1,1,1
01/02/2025,12:00,N,0.79,1.25,0.5,0.97,0.34
01/02/2025,13:00,N,0.98,1.25,0.5,0.96,0.06
01/02/2025,14:00,N,0.98,1.25,0.5,0.92,0.24
01/02/2025,15:00,N,0.98,1.25,0.5,0.9,0.5
01/02/2025,16:00,N,0.98,1.25,0.5,0.58,0.24
01/02/2025,17:00,N,4.13,1,1,1,1
01/02/2025,18:00,N,4.9,1.55,2.23,1.49,2.23
01/02/2025,19:00,N,4.95,1.65,2.06,2.06,0.12
01/02/2025,20:00,N,4.13,2.94,2.94,2.94,0.13
01/02/2025,21:00,N,1.53,2.31,0.81,1.06,0.13
01/02/2025,22:00,N,0.5,1.5,0.75,1,0.1
01/02/2025,23:00,N,0.5,0.94,0.5,0.5,0.1
01/02/2025,24:00,N,1.53,1.21,0.5,0.5,0.04
01/03/2025,01:00,N,0.24,0.56,0.3,0.1,0.02
01/03/2025,02:00,N,0.24,0.86,0.3,0.09,0.03
01/03/2025,03:00,N,0.24,0.86,0.3,0.3,0.02
01/03/2025,04:00,N,0.24,0.52,0.31,0.31,0.02
01/03/2025,05:00,N,0.5,1.06,0.31,0.31,0.03
01/03/2025,06:00,N,0.79,0.72,0.3,0.3,0.05
01/03/2025,07:00,N,4.13,1.65,1.07,1.07,0.11
01/03/2025,08:00,N,3.92,1.66,1.66,1.48,0.12
01/03/2025,09:00,N,3.96,1.65,1.65,1.48,1.65
01/03/2025,10:00,N,0.79,1.75,1,1,1
01/03/2025,11:00,N,0.74,1.54,0.79,0.79,0.79
01/03/2025,12:00,N,0.79,1.25,0.5,0.5,0.5
01/03/2025,13:00,N,0.5,1.24,0.49,0.49,0.06
01/03/2025,14:00,N,0.5,1.25,0.5,0.5,0.5
01/03/2025,15:00,N,0.5,1.25,0.5,0.5,0.5
01/03/2025,16:00,N,0.79,1.19,0.44,0.44,0.44
01/03/2025,17:00,N,1.99,0.8,0.8,0.8,0.8
01/03/2025,18:00,N,3.02,1.29,1.65,1.02,1.65
01/03/2025,19:00,N,3.13,0.88,1.09,1.07,0.15
01/03/2025,20:00,N,2.09,1.96,1.1,1.1,0.04
01/03/2025,21:00,N,1.53,1.75,0.75,0.99,0.04
01/03/2025,22:00,N,1.53,1.98,0.73,0.97,0.04
01/03/2025,23:00,N,0.5,2.49,0.5,0.23,0.04
01/03/2025,24:00,N,1.53,2,0.5,0.23,0.04
01/04/2025,01:00,N,0.29,1.1,0.29,0.08,0.03
01/04/2025,02:00,N,0.24,0.66,0.29,0.08,0.04
01/04/2025,03:00,N,0.24,0.64,0.29,0.25,0.03
01/04/2025,04:00,N,0.29,0.73,0.35,0.24,0.03
01/04/2025,05:00,N,0.29,0.8,0.3,0.24,0.04
01/04/2025,06:00,N,0.29,0.67,0.3,0.25,0.04
01/04/2025,07:00,N,0.24,0.95,0.5,0.63,0.1
01/04/2025,08:00,N,1.34,0.61,0.78,0.8,0.11
01/04/2025,09:00,N,2.13,0.81,0.81,0.81,0.81
01/04/2025,10:00,N,0.29,1.06,0.81,0.81,0.81
01/04/2025,11:00,N,0.29,0.88,0.5,0.5,0.5
01/04/2025,12:00,N,0.29,0.75,0.37,0.37,0.37
01/04/2025,13:00,N,0.29,0.67,0.3,0.3,0.3
01/04/2025,14:00,N,0.29,0.67,0.3,0.3,0.3
01/04/2025,15:00,N,0.29,0.78,0.4,0.4,0.4
01/04/2025,16:00,N,0.98,0.75,0.37,0.37,0.37
01/04/2025,17:00,N,0.51,0.58,0.58,0.58,0.58
01/04/2025,18:00,N,3.46,0.96,0.81,0.94,0.81
01/04/2025,19:00,N,1.99,0.63,0.63,0.95,0.14
01/04/2025,20:00,N,2.03,0.67,0.95,0.95,0.15
01/04/2025,21:00,N,0.29,0.5,0.5,0.75,0.16
01/04/2025,22:00,N,0.29,1.13,0.5,0.75,0.04
01/04/2025,23:00,N,0.29,1.29,0.29,0.1,0.04
01/04/2025,24:00,N,0.29,1.04,0.29,0.1,0.04
01/05/2025,01:00,N,0.29,0.29,0.29,0.07,0.03
01/05/2025,02:00,N,0.24,0.29,0.29,0.07,0.04
01/05/2025,03:00,N,0.24,0.29,0.29,0.24,0.04
01/05/2025,04:00,N,0.29,0.3,0.3,0.23,0.04
01/05/2025,05:00,N,0.24,0.3,0.3,0.23,0.04
01/05/2025,06:00,N,0.29,0.29,0.29,0.24,0.04
01/05/2025,07:00,N,0.86,0.86,0.8,0.8,0.05
01/05/2025,08:00,N,0.39,0.84,0.98,0.98,0.05
01/05/2025,09:00,N,1.1,1.74,1,1,1
01/05/2025,10:00,N,0.29,0.79,0.79,0.79,0.79
01/05/2025,11:00,N,0.29,0.5,0.5,0.5,0.5
01/05/2025,12:00,N,0.29,0.36,0.36,0.36,0.36
01/05/2025,13:00,N,0.29,0.32,0.32,0.32,0.32
01/05/2025,14:00,N,0.29,0.34,0.34,0.34,0.34
01/05/2025,15:00,N,0.5,0.41,0.41,0.41,0.41
01/05/2025,16:00,N,1.39,0.37,0.37,0.37,0.37
01/05/2025,17:00,N,2.61,0.73,0.68,0.58,0.68
01/05/2025,18:00,N,1.87,1.96,1,1,1
01/05/2025,19:00,N,2.2,0.54,1,1,0.11
01/05/2025,20:00,N,0.19,0.5,1,0.96,0.12
01/05/2025,21:00,N,0.29,0.5,0.5,0.74,0.13
01/05/2025,22:00,N,0.29,0.5,0.5,0.75,0.14
01/05/2025,23:00,N,0.29,0.3,0.3,0.15,0.15
01/05/2025,24:00,N,0.29,0.3,0.3,0.16,0.06
01/06/2025,01:00,N,0.29,0.29,0.24,0.09,0.04
01/06/2025,02:00,N,0.01,0.29,0.29,0.1,0.04
01/06/2025,03:00,N,0.01,0.3,0.3,0.3,0.04
01/06/2025,04:00,N,0.29,0.37,0.37,0.37,0.04
01/06/2025,05:00,N,0.29,0.44,0.44,0.44,0.04
01/06/2025,06:00,N,0.29,0.5,0.5,1,0.37
01/06/2025,07:00,N,2.87,4.94,6.3,18.73,6.3
01/06/2025,08:00,N,2.2,24.68,27.1,27.1,27.1
01/06/2025,09:00,N,10.61,18.24,20.09,20,20.29
01/06/2025,10:00,N,1.47,3.68,3.68,4,3.68
01/06/2025,11:00,N,0.46,1,1,1,1
01/06/2025,12:00,N,0.29,0.79,0.79,0.94,0.79
01/06/2025,13:00,N,0.29,0.78,0.78,0.94,0.37
01/06/2025,14:00,N,0.51,0.94,0.78,0.94,0.78
01/06/2025,15:00,N,0.5,1.39,0.5,0.58,0.5
01/06/2025,16:00,N,0.29,1.39,0.5,0.5,0.5
01/06/2025,17:00,N,5.14,3.3,0.78,0.97,0.78
01/06/2025,18:00,N,3.94,8.57,7.52,7.37,7.52
01/06/2025,19:00,N,5.57,15.71,19.75,19,19.75
01/06/2025,20:00,N,0.19,6.5,7.79,9.79,9.79
01/06/2025,21:00,N,0.29,1.5,1.5,14.71,1.5
01/06/2025,22:00,N,0.29,1.5,1.5,11.5,1.5
01/06/2025,23:00,N,0.29,1,1,1,1
01/06/2025,24:00,N,0.29,0.79,0.79,0.79,0.22
01/07/2025,01:00,N,0.29,0.5,0.5,0.1,0.04
01/07/2025,02:00,N,0.29,0.38,0.38,0.11,0.04
01/07/2025,03:00,N,0.29,0.44,0.44,0.44,0.05
01/07/2025,04:00,N,0.29,0.37,0.37,0.37,0.05
01/07/2025,05:00,N,0.29,0.5,0.5,0.5,0.05
01/07/2025,06:00,N,0.29,0.63,0.63,0.96,0.5
01/07/2025,07:00,N,1.51,6.92,8.88,18,8.88
01/07/2025,08:00,N,3.83,12.63,20.97,19.64,20.97
01/07/2025,09:00,N,14,27.37,27.37,20,27.37
01/07/2025,10:00,N,3.38,5.49,5.49,3,5.49
01/07/2025,11:00,N,0.29,0.98,0.98,0.99,0.98
01/07/2025,12:00,N,0.29,0.78,0.5,1,0.5
01/07/2025,13:00,N,0.29,0.9,0.37,1,0.37
01/07/2025,14:00,N,0.5,1.2,0.38,0.94,0.38
01/07/2025,15:00,N,0.29,1.05,0.28,0.58,0.28
01/07/2025,16:00,N,0.54,0.83,0.24,0.5,0.24
01/07/2025,17:00,N,2.34,0.63,0.47,0.73,0.47
01/07/2025,18:00,N,1.57,3.43,1,1,1
01/07/2025,19:00,N,2.22,1.42,1.42,1.42,0.21
01/07/2025,20:00,N,0.19,0.92,1,1.01,0.22
01/07/2025,21:00,N,0.29,0.79,0.79,1.01,0.21
01/07/2025,22:00,N,0.29,0.8,0.8,1.02,0.04
01/07/2025,23:00,N,0.01,0.73,0.73,0.73,0.04
01/07/2025,24:00,N,0.01,0.78,0.78,0.78,0.04
01/08/2025,01:00,N,0.29,0.3,0.3,0.09,0.04
01/08/2025,02:00,N,0.29,0.3,0.3,0.11,0.04
01/08/2025,03:00,N,0.29,0.43,0.43,0.43,0.04
01/08/2025,04:00,N,0.29,0.63,0.63,0.63,0.04
01/08/2025,05:00,N,0.29,0.79,0.79,0.5,0.04
01/08/2025,06:00,N,0.29,0.79,0.79,0.74,0.1
01/08/2025,07:00,N,1.95,1.1,1.1,1.36,1.1
01/08/2025,08:00,N,1.7,3.71,4.94,4.94,4.94
01/08/2025,09:00,N,6.49,8.12,8.12,8.12,8.12
01/08/2025,10:00,N,1.47,3.91,4.08,4.08,4.08
01/08/2025,11:00,N,0.29,2.23,0.98,0.98,0.98
01/08/2025,12:00,N,0.29,1.95,0.5,0.5,0.5
01/08/2025,13:00,N,0.29,0.5,0.41,0.58,0.25
01/08/2025,14:00,N,0.29,0.85,0.37,0.58,0.37
01/08/2025,15:00,N,0.29,0.72,0.37,0.94,0.37
01/08/2025,16:00,N,0.29,0.85,0.37,0.53,0.37
01/08/2025,17:00,N,3.2,0.81,0.81,1,0.81
01/08/2025,18:00,N,2.45,5.03,4,4,4
01/08/2025,19:00,N,3.21,3.24,7,7,7
01/08/2025,20:00,N,0.19,1.72,1.72,4,1.72
01/08/2025,21:00,N,0.29,0.98,0.98,3,0.98
01/08/2025,22:00,N,0.29,0.8,0.8,1.36,0.8
01/08/2025,23:00,N,0.29,0.73,0.73,0.9,0.21
01/08/2025,24:00,N,0.29,0.71,0.71,0.77,0.04
01/09/2025,01:00,N,0.29,0.37,0.37,0.08,0.03
01/09/2025,02:00,N,0.29,0.3,0.3,0.1,0.04
01/09/2025,03:00,N,0.28,0.3,0.3,0.3,0.03
01/09/2025,04:00,N,0.29,0.29,0.29,0.29,0.03
01/09/2025,05:00,N,0.29,0.29,0.29,0.28,0.04
01/09/2025,06:00,N,0.29,0.44,0.44,0.44,0.04
01/09/2025,07:00,N,1.95,1.07,1.07,1.2,0.1
01/09/2025,08:00,N,0.12,0.59,0.79,1.36,0.11
01/09/2025,09:00,N,14.79,14.82,14.97,7.5,14.97
01/09/2025,10:00,N,0.49,12.04,12.04,12.04,12.04
01/09/2025,11:00,N,1.47,9,7,9,9
01/09/2025,12:00,N,1.47,1.95,0.98,1.36,1.13
01/09/2025,13:00,N,0.5,0.89,0.89,1.16,0.89
01/09/2025,14:00,N,0.69,2.79,0.79,1.22,0.79
01/09/2025,15:00,N,0.57,1.39,0.79,1.15,0.79
01/09/2025,16:00,N,0.5,1.39,0.63,1.05,0.63
01/09/2025,17:00,N,4.14,1.02,1.02,1.36,1.02
01/09/2025,18:00,N,3.16,6.89,9.67,9.67,9.67
01/09/2025,19:00,N,4.16,11.78,16.65,16.5,16.65
01/09/2025,20:00,N,0.19,3.8,5,7,7
01/09/2025,21:00,N,0.29,1.5,1.5,9.24,1.5
01/09/2025,22:00,N,0.29,1.5,1.5,3.02,1.5
01/09/2025,23:00,N,0.29,0.98,0.98,1,0.98
01/09/2025,24:00,N,0.29,0.79,0.79,0.52,0.04
01/10/2025,01:00,N,0.24,0.79,0.79,0.07,0.03
01/10/2025,02:00,N,0.24,0.63,0.63,0.08,0.04
01/10/2025,03:00,N,0.24,0.5,0.5,0.29,0.04
01/10/2025,04:00,N,0.24,0.38,0.38,0.28,0.04
01/10/2025,05:00,N,0.24,0.43,0.43,0.27,0.04
01/10/2025,06:00,N,0.29,0.63,0.63,0.25,0.04
01/10/2025,07:00,N,0.53,0.97,0.97,1,0.1
01/10/2025,08:00,N,1.3,1.5,1.5,1.1,0.11
01/10/2025,09:00,N,1.88,2.11,2.11,2.11,2.11
01/10/2025,10:00,N,0.29,6.92,3.85,3,3.85
01/10/2025,11:00,N,0.29,0.8,0.8,0.94,0.8
01/10/2025,12:00,N,0.29,0.35,0.35,0.5,0.35
01/10/2025,13:00,N,0.29,0.44,0.28,0.45,0.28
01/10/2025,14:00,N,0.29,1.05,0.28,0.45,0.28
01/10/2025,15:00,N,0.29,0.94,0.36,0.5,0.36
01/10/2025,16:00,N,0.29,0.8,0.3,0.5,0.3
01/10/2025,17:00,N,2.08,1.09,0.79,0.79,0.79
01/10/2025,18:00,N,1.77,3.92,5,3,5
01/10/2025,19:00,N,2.7,5.88,8.4,8.4,8.4
01/10/2025,20:00,N,0.19,3.33,4,4,4
01/10/2025,21:00,N,0.29,1,1,6.56,1
01/10/2025,22:00,N,0.29,0.98,0.98,3.23,0.98
01/10/2025,23:00,N,0.24,0.92,0.92,0.92,0.92
01/10/2025,24:00,N,0.24,0.79,0.79,0.68,0.04
01/11/2025,01:00,N,0.29,0.4,0.4,0.1,0.04
01/11/2025,02:00,N,0.24,0.3,0.3,0.1,0.05
01/11/2025,03:00,N,0.24,0.29,0.29,0.28,0.05
01/11/2025,04:00,N,0.29,0.29,0.29,0.29,0.04
01/11/2025,05:00,N,0.29,0.29,0.29,0.29,0.05
01/11/2025,06:00,N,0.29,0.45,0.45,0.25,0.15
01/11/2025,07:00,N,0.53,0.8,0.8,1.02,0.16
01/11/2025,08:00,N,0.98,0.66,1.07,1.07,0.5
01/11/2025,09:00,N,2.69,1.74,1.74,1.74,1.74
01/11/2025,10:00,N,1.05,1.59,1.48,1.48,1.48
01/11/2025,11:00,N,0.3,0.94,0.94,0.94,0.94
01/11/2025,12:00,N,0.7,0.5,0.5,0.5,0.5
01/11/2025,13:00,N,0.7,0.47,0.47,0.47,0.37
01/11/2025,14:00,N,0.3,0.4,0.4,0.4,0.4
01/11/2025,15:00,N,0.45,0.49,0.49,0.49,0.49
01/11/2025,16:00,N,1.39,1.39,0.39,0.39,0.39
01/11/2025,17:00,N,1.13,0.64,0.64,0.64,0.24
01/11/2025,18:00,N,0.34,0.75,1,1,0.75
01/11/2025,19:00,N,0.56,1.03,1.03,1.03,0.06
01/11/2025,20:00,N,0.26,0.52,1,1,0.06
01/11/2025,21:00,N,0.29,0.68,0.68,0.92,0.05
01/11/2025,22:00,N,0.29,0.51,0.51,0.75,0.04
01/11/2025,23:00,N,0.29,0.35,0.35,0.24,0.04
01/11/2025,24:00,N,0.29,0.35,0.35,0.24,0.04
01/12/2025,01:00,N,0.29,1.22,0.4,0.09,0.03
01/12/2025,02:00,N,0.27,0.74,0.36,0.09,0.04
01/12/2025,03:00,N,0.29,0.67,0.3,0.27,0.04
01/12/2025,04:00,N,0.29,0.67,0.3,0.3,0.03
01/12/2025,05:00,N,0.29,0.8,0.3,0.3,0.04
01/12/2025,06:00,N,0.29,0.87,0.49,0.49,0.04
01/12/2025,07:00,N,0.48,1,1,1.02,0.06
01/12/2025,08:00,N,1.01,0.67,1,1,0.11
01/12/2025,09:00,N,1.19,1.5,1.5,1.5,1.5
01/12/2025,10:00,N,1.05,1.25,1,1,1
01/12/2025,11:00,N,0.35,1.17,0.79,0.79,0.79
01/12/2025,12:00,N,0.29,0.88,0.5,0.5,0.5
01/12/2025,13:00,N,0.32,0.87,0.49,0.49,0.35
01/12/2025,14:00,N,0.29,0.72,0.34,0.44,0.34
01/12/2025,15:00,N,0.49,0.8,0.42,0.48,0.42
01/12/2025,16:00,N,0.53,0.7,0.32,0.44,0.32
01/12/2025,17:00,N,1.29,1.96,0.5,0.5,0.24
01/12/2025,18:00,N,2.41,1.34,1,1,1
01/12/2025,19:00,N,2.3,1,1,1,0.24
01/12/2025,20:00,N,0.15,0.5,1.01,1.01,0.24
01/12/2025,21:00,N,0.29,1.5,0.63,0.92,0.15
01/12/2025,22:00,N,0.29,0.97,0.68,0.97,0.14
01/12/2025,23:00,N,0.29,2.3,0.3,0.25,0.15
01/12/2025,24:00,N,0.29,2.22,0.35,0.25,0.06
01/13/2025,01:00,N,0.28,1.04,0.29,0.1,0.04
01/13/2025,02:00,N,0.24,1.04,0.29,0.11,0.05
01/13/2025,03:00,N,0.24,1,0.29,0.29,0.05
01/13/2025,04:00,N,0.29,1.29,0.29,0.29,0.04
01/13/2025,05:00,N,0.53,1.79,0.29,0.29,0.05
01/13/2025,06:00,N,0.53,2.35,0.48,0.48,0.15
01/13/2025,07:00,N,0.53,2.4,3,3,3
01/13/2025,08:00,N,1.8,2.68,3.12,3.12,3.12
01/13/2025,09:00,N,2.77,4.9,4.9,4.9,4.9
01/13/2025,10:00,N,1.05,1.2,1.07,1.07,1.07
01/13/2025,11:00,N,0.35,1.22,0.97,0.97,0.97
01/13/2025,12:00,N,0.29,0.74,0.5,0.5,0.5
01/13/2025,13:00,N,0.29,0.75,0.5,0.5,0.3
01/13/2025,14:00,N,0.29,0.75,0.5,0.5,0.3
01/13/2025,15:00,N,0.29,1,0.49,0.5,0.49
01/13/2025,16:00,N,1.25,0.9,0.4,0.49,0.4
01/13/2025,17:00,N,1.53,1.98,0.5,0.5,0.5
01/13/2025,18:00,N,2.07,1.5,1,1,1
01/13/2025,19:00,N,1.99,1.32,1.32,1.1,0.2
01/13/2025,20:00,N,0.15,1.5,1.5,1.5,0.21
01/13/2025,21:00,N,0.53,2.34,0.78,1.03,0.22
01/13/2025,22:00,N,0.53,2,0.75,1,0.23
01/13/2025,23:00,N,0.53,1,0.29,0.25,0.04
01/13/2025,24:00,N,0.5,0.5,0.29,0.25,0.04
01/14/2025,01:00,N,0.5,1.1,0.35,0.08,0.04
01/14/2025,02:00,N,0.25,1,0.29,0.08,0.04
01/14/2025,03:00,N,0.18,0.72,0.29,0.28,0.04
01/14/2025,04:00,N,0.31,1.35,0.35,0.28,0.04
01/14/2025,05:00,N,0.53,1.82,0.32,0.28,0.04
01/14/2025,06:00,N,0.53,3.1,0.47,0.47,0.1
01/14/2025,07:00,N,0.53,1.1,1.05,1.05,0.25
01/14/2025,08:00,N,5.03,2.2,3.28,1.07,3.28
01/14/2025,09:00,N,5.94,7.5,5.38,5,5.38
01/14/2025,10:00,N,1.05,6.56,2.04,2.04,2.04
01/14/2025,11:00,N,0.53,1.63,1,1,1
01/14/2025,12:00,N,0.53,0.92,0.72,0.72,0.72
01/14/2025,13:00,N,0.53,0.75,0.5,0.5,0.24
01/14/2025,14:00,N,0.53,1.04,0.5,0.5,0.24
01/14/2025,15:00,N,0.53,1.04,0.5,0.5,0.41
01/14/2025,16:00,N,1.25,1.79,0.49,0.49,0.49
01/14/2025,17:00,N,1.79,3.26,0.5,0.5,0.5
01/14/2025,18:00,N,3.03,4.89,1,1,1
01/14/2025,19:00,N,0.78,1.29,1.65,1.24,0.15
01/14/2025,20:00,N,0.15,2.94,1.24,1.24,0.16
01/14/2025,21:00,N,0.53,2.31,0.75,1,0.17
01/14/2025,22:00,N,0.53,2.01,0.76,1,0.18
01/14/2025,23:00,N,0.5,1.13,0.49,0.25,0.04
01/14/2025,24:00,N,0.53,1.44,0.5,0.25,0.04
01/15/2025,01:00,N,0.53,1.25,0.5,0.07,0.03
01/15/2025,02:00,N,0.53,1.12,0.37,0.07,0.04
01/15/2025,03:00,N,0.5,1.3,0.3,0.27,0.04
01/15/2025,04:00,N,0.53,1.19,0.3,0.27,0.04
01/15/2025,05:00,N,0.5,1.8,0.3,0.27,0.04
01/15/2025,06:00,N,0.53,3.07,0.44,0.44,0.05
01/15/2025,07:00,N,1.53,1.5,1.5,1.5,0.11
01/15/2025,08:00,N,4.02,1.76,1.93,1.93,0.12
01/15/2025,09:00,N,6.56,3.57,3,3,3
01/15/2025,10:00,N,1.53,6.25,3,3,3
01/15/2025,11:00,N,0.53,1.63,1,1,1
01/15/2025,12:00,N,0.53,0.92,0.74,0.74,0.74
01/15/2025,13:00,N,0.53,0.75,0.5,0.5,0.3
01/15/2025,14:00,N,0.53,0.94,0.5,0.5,0.5
01/15/2025,15:00,N,0.53,0.94,0.5,0.5,0.5
01/15/2025,16:00,N,1.25,0.99,0.49,0.49,0.49
01/15/2025,17:00,N,1.53,4.5,0.5,0.5,0.5
01/15/2025,18:00,N,1.09,2.51,1,1,1
01/15/2025,19:00,N,0.69,1.67,1.67,1.67,0.15
01/15/2025,20:00,N,0.53,2.94,1.5,1.5,0.16
01/15/2025,21:00,N,0.53,2.37,0.81,1.05,0.17
01/15/2025,22:00,N,0.53,2.04,0.79,1.03,0.18
01/15/2025,23:00,N,0.53,1.75,0.5,0.25,0.19
01/15/2025,24:00,N,0.53,1.44,0.5,0.25,0.04
01/16/2025,01:00,N,0.53,1.25,0.5,0.08,0.03
01/16/2025,02:00,N,0.53,1.25,0.5,0.08,0.04
01/16/2025,03:00,N,0.53,1.5,0.5,0.5,0.04
01/16/2025,04:00,N,0.53,1.4,0.4,0.4,0.04
01/16/2025,05:00,N,0.53,1.91,0.41,0.41,0.04
01/16/2025,06:00,N,0.53,3.13,0.5,0.5,0.05
01/16/2025,07:00,N,1.53,2.01,2.01,2.01,0.11
01/16/2025,08:00,N,5.94,2.95,4.4,4.4,0.5
01/16/2025,09:00,N,6.96,10.05,4.98,4,4.98
01/16/2025,10:00,N,1.53,10.43,1.5,1.5,1.5
01/16/2025,11:00,N,1.53,1.63,1,1,1
01/16/2025,12:00,N,1.25,1.07,0.94,0.94,0.94
01/16/2025,13:00,N,0.53,1.04,0.5,0.5,0.5
01/16/2025,14:00,N,0.53,1.04,0.5,0.5,0.5
01/16/2025,15:00,N,0.53,1.04,0.5,0.5,0.5
01/16/2025,16:00,N,1.25,1.79,0.49,0.49,0.49
01/16/2025,17:00,N,1.53,3.38,0.7,0.7,0.7
01/16/2025,18:00,N,3.08,2.3,1.5,1.07,1
01/16/2025,19:00,N,4.14,4.9,4.9,2.99,0.15
01/16/2025,20:00,N,0.53,1.74,1.32,1.32,0.16
01/16/2025,21:00,N,0.53,2.34,0.78,1,0.05
01/16/2025,22:00,N,0.53,2.03,0.78,1,0.04
01/16/2025,23:00,N,0.53,1.75,0.5,0.25,0.04
01/16/2025,24:00,N,0.53,1.44,0.5,0.25,0.04
01/17/2025,01:00,N,0.53,0.81,0.5,0.07,0.03
01/17/2025,02:00,N,0.52,0.54,0.35,0.07,0.04
01/17/2025,03:00,N,0.5,0.63,0.32,0.25,0.04
01/17/2025,04:00,N,0.53,0.66,0.35,0.25,0.03
01/17/2025,05:00,N,0.53,0.68,0.37,0.25,0.04
01/17/2025,06:00,N,0.53,1.96,0.4,0.4,0.06
01/17/2025,07:00,N,0.53,1,1,1,0.11
01/17/2025,08:00,N,0.53,0.74,1.03,1.03,0.12
01/17/2025,09:00,N,3.96,3.5,1.94,1.94,1.94
01/17/2025,10:00,N,1.79,2.01,1.89,1.39,1.89
01/17/2025,11:00,N,1.25,0.92,0.79,0.79,0.79
01/17/2025,12:00,N,0.62,0.56,0.5,0.5,0.5
01/17/2025,13:00,N,0.53,0.68,0.49,0.49,0.49
01/17/2025,14:00,N,0.53,0.68,0.49,0.49,0.49
01/17/2025,15:00,N,0.53,0.62,0.43,0.43,0.43
01/17/2025,16:00,N,0.53,0.71,0.4,0.4,0.4
01/17/2025,17:00,N,1.99,2,0.5,0.5,0.5
01/17/2025,18:00,N,4.25,1.35,0.92,0.92,0.5
01/17/2025,19:00,N,0.29,0.5,1,1,0.06
01/17/2025,20:00,N,0.53,0.5,1,0.96,0.06
01/17/2025,21:00,N,0.53,0.81,0.5,0.5,0.05
01/17/2025,22:00,N,0.53,0.75,0.5,0.5,0.04
01/17/2025,23:00,N,0.53,0.56,0.37,0.24,0.04
01/17/2025,24:00,N,0.53,0.55,0.3,0.24,0.04
01/18/2025,01:00,N,0.53,1.86,0.3,0.07,0.03
01/18/2025,02:00,N,0.53,1.24,0.3,0.07,0.04
01/18/2025,03:00,N,0.53,1.85,0.29,0.25,0.04
01/18/2025,04:00,N,0.53,1.86,0.3,0.25,0.03
01/18/2025,05:00,N,0.53,1.85,0.29,0.25,0.04
01/18/2025,06:00,N,0.53,1.86,0.3,0.3,0.04
01/18/2025,07:00,N,0.53,1,0.99,0.99,0.99
01/18/2025,08:00,N,1.53,0.72,1.01,1.01,1.01
01/18/2025,09:00,N,4,3.5,1.15,1.15,1.15
01/18/2025,10:00,N,1.79,2.96,1,1,1
01/18/2025,11:00,N,1.25,0.92,0.79,0.79,0.79
01/18/2025,12:00,N,0.62,0.85,0.5,0.5,0.5
01/18/2025,13:00,N,0.53,0.68,0.49,0.49,0.49
01/18/2025,14:00,N,0.53,0.69,0.5,0.5,0.5
01/18/2025,15:00,N,0.53,0.69,0.5,0.5,0.5
01/18/2025,16:00,N,0.62,0.81,0.5,0.5,0.5
01/18/2025,17:00,N,3.13,2.25,0.51,0.51,0.51
01/18/2025,18:00,N,4.1,1.35,1,1,1
01/18/2025,19:00,N,2.01,0.24,1,1,0.5
01/18/2025,20:00,N,1.53,0.5,0.96,0.96,0.5
01/18/2025,21:00,N,1.53,1.78,0.5,0.58,0.5
01/18/2025,22:00,N,1.53,1.53,0.5,0.58,0.06
