OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
05/28/2024,01:00,16121.27,1814.94,6750.18,1669.97,14608.67,4341.66,10362.27,1463.50,57132.46,N
05/28/2024,02:00,15354.31,1722.91,6888.24,1589.13,13871.91,4077.68,9683.56,1354.86,54542.60,N
05/28/2024,03:00,14833.57,1645.24,6788.76,1518.01,13198.19,3962.91,9071.66,1348.95,52367.29,N
05/28/2024,04:00,14510.32,1620.69,6686.84,1467.98,12799.83,3822.32,8712.81,1286.33,50907.13,N
05/28/2024,05:00,14472.76,1643.06,6551.21,1439.47,12900.74,3756.77,8559.51,1258.53,50582.06,N
05/28/2024,06:00,14754.83,1670.88,6484.10,1443.39,13253.24,3789.39,8546.97,1249.08,51191.89,N
05/28/2024,07:00,15009.48,1788.25,6501.34,1447.19,11693.40,3884.44,8817.01,1299.77,50440.88,N
05/28/2024,08:00,15294.02,1838.18,6384.96,1436.65,11459.23,3906.23,9067.34,1405.74,50792.35,N
05/28/2024,09:00,16142.88,1815.37,6555.92,1460.43,11921.18,4109.79,9361.29,1555.17,52922.02,N
05/28/2024,10:00,17104.20,1734.64,6704.14,1539.61,12048.57,4352.25,9837.38,1555.70,54876.48,N
05/28/2024,11:00,18171.14,1710.21,6892.38,1600.56,12210.07,4681.45,10477.44,1572.46,57315.71,N
05/28/2024,12:00,19097.34,1663.09,7028.80,1658.54,12117.39,5092.01,10873.89,1647.71,59178.76,N
05/28/2024,13:00,19708.96,1584.78,7081.17,1720.53,12390.09,5627.50,11034.50,1714.86,60862.38,N
05/28/2024,14:00,17978.94,1601.29,7034.84,1766.53,13309.20,5942.22,11041.71,1718.84,60393.58,N
05/28/2024,15:00,15643.88,1649.20,7183.49,1874.27,14124.78,6228.65,11236.11,1764.87,59705.26,N
05/28/2024,16:00,14749.69,1693.89,7029.77,1839.28,15091.25,6395.76,11414.31,1795.73,60009.68,N
05/28/2024,17:00,14347.61,1779.90,6900.16,1882.72,15645.39,6428.65,11580.35,1800.52,60365.29,N
05/28/2024,18:00,14498.57,1838.07,6780.93,1919.20,15837.10,6294.12,11632.18,1734.59,60534.77,N
05/28/2024,19:00,14827.00,1868.16,6803.42,1843.67,15866.53,6107.95,11437.35,1691.80,60445.88,N
05/28/2024,20:00,14849.29,1803.78,6764.48,1812.80,15312.51,5792.33,11014.27,1533.08,58882.54,N
05/28/2024,21:00,14830.53,1749.60,6693.22,1749.44,14909.80,5557.99,10772.64,1404.28,57667.51,N
05/28/2024,22:00,14591.68,1718.07,6781.57,1693.63,14536.88,5249.48,10356.20,1367.65,56295.16,N
05/28/2024,23:00,13984.05,1632.56,6736.34,1627.38,13767.17,4826.87,9618.69,1307.54,53500.60,N
05/28/2024,24:00,13245.39,1513.36,6574.80,1528.90,12796.75,4537.18,8738.03,1288.48,50222.89,N
