OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
04/30/2024,01:00,11570.57,1512.67,6508.19,1348.67,12005.81,4097.14,7901.69,1136.19,46080.94,N
04/30/2024,02:00,11116.96,1431.29,6443.58,1276.02,11309.05,3938.56,7202.17,1119.72,43837.36,N
04/30/2024,03:00,10757.27,1364.07,6403.96,1244.94,10793.42,3787.12,6858.98,1084.13,42293.90,N
04/30/2024,04:00,10556.67,1291.09,6270.39,1217.62,10629.72,3669.17,6703.01,1042.88,41380.57,N
04/30/2024,05:00,10596.95,1316.50,6185.84,1223.25,10605.17,3690.23,6672.95,1002.82,41293.71,N
04/30/2024,06:00,11013.50,1335.09,6070.64,1268.35,11292.80,3728.33,6891.63,1026.08,42626.41,N
04/30/2024,07:00,11599.94,1508.71,6135.03,1332.27,12323.40,3976.79,7331.57,1075.06,45282.76,N
04/30/2024,08:00,11827.57,1538.94,6084.67,1356.42,12883.48,4014.91,7536.83,1095.00,46337.82,N
04/30/2024,09:00,12277.37,1643.52,6037.60,1378.65,13239.07,4054.78,7698.61,1165.65,47495.25,N
04/30/2024,10:00,12874.93,1757.94,6176.62,1420.72,13801.52,4191.40,7866.44,1180.34,49269.91,N
04/30/2024,11:00,13514.73,1808.05,6377.82,1410.86,14471.89,4429.02,8138.27,1241.76,51392.41,N
04/30/2024,12:00,14248.69,1933.72,6438.49,1399.57,14770.11,4732.64,8522.29,1266.75,53312.27,N
04/30/2024,13:00,15059.67,1949.59,6504.41,1470.37,15191.44,4922.57,8958.83,1341.42,55398.30,N
04/30/2024,14:00,15875.45,1944.49,6705.46,1556.24,15729.41,5178.29,9471.63,1371.90,57832.86,N
04/30/2024,15:00,16449.22,2034.74,6792.32,1645.97,16401.65,5222.73,9912.06,1440.95,59899.64,N
04/30/2024,16:00,16975.36,2139.13,6954.53,1765.19,17119.87,5381.64,10359.97,1514.37,62210.06,N
04/30/2024,17:00,17332.35,2264.94,7028.85,1821.99,17733.49,5538.56,10666.32,1521.28,63907.78,N
04/30/2024,18:00,17210.91,2358.27,6876.64,1867.77,17972.68,5606.23,10794.98,1583.11,64270.58,N
04/30/2024,19:00,16563.92,2266.48,6825.37,1857.04,17783.98,5429.67,10681.83,1491.47,62899.76,N
04/30/2024,20:00,15880.54,2145.88,6620.52,1760.96,17364.75,5246.97,10462.74,1439.58,60921.95,N
04/30/2024,21:00,15569.63,2091.69,6613.45,1713.17,17084.93,5169.86,10282.64,1395.99,59921.36,N
04/30/2024,22:00,15061.19,2060.18,6620.36,1665.33,16590.32,5029.81,9936.63,1333.18,58297.01,N
04/30/2024,23:00,14200.71,1876.03,6525.88,1610.54,15473.82,4714.91,9185.73,1286.90,54874.52,N
04/30/2024,24:00,13312.93,1705.44,6444.41,1500.57,14278.44,4401.85,8514.41,1140.74,51298.80,N
