SCEDTimestamp,RepeatedHourFlag,SettlementPoint,LMP
12/01/2010 01:10:23,N,CHEDPW_GT2,21.67
12/01/2010 01:10:23,N,CHE_CC1,21.67
12/01/2010 01:10:23,N,CHE_LYD,21.67
12/01/2010 01:10:23,N,CHE_LYD2,21.67
12/01/2010 01:10:23,N,CHE_PUN1,21.67
12/01/2010 01:10:23,N,CHE_PUN2,21.67
12/01/2010 01:10:23,N,CNSES_UNIT1,21.64
12/01/2010 01:10:23,N,COL_COLETOG1,21.7
12/01/2010 01:10:23,N,COTTON_PAP2,21.7
12/01/2010 01:10:23,N,CPSES_UNIT1,21.64
12/01/2010 01:10:23,N,CPSES_UNIT2,21.64
12/01/2010 01:10:23,N,CSC_CSECG1_2,14.73
12/01/2010 01:10:23,N,CTL_CC1,21.67
12/01/2010 01:10:23,N,CTL_GT_102,21.67
12/01/2010 01:10:23,N,CTL_GT_103,21.67
12/01/2010 01:10:23,N,CTL_GT_104,21.67
12/01/2010 01:10:23,N,CTL_PUN1,21.67
12/01/2010 01:10:23,N,CTL_PUN2,21.67
12/01/2010 01:10:23,N,CTL_PUN3,21.67
12/01/2010 01:10:23,N,CTL_ST_101,21.67
12/01/2010 01:10:23,N,CVC_CC1,21.67
12/01/2010 01:10:23,N,CVC_CVCG1_5,21.67
12/01/2010 01:10:23,N,CVC_CVC_G2,21.67
12/01/2010 01:10:23,N,CVC_CVC_G3,21.67
12/01/2010 01:10:23,N,DAN_DANSBYG1,21.66
12/01/2010 01:10:23,N,DAN_DANSBYG2,21.66
12/01/2010 01:10:23,N,DAN_DANSBYG3,21.66
12/01/2010 01:10:23,N,DC2SES_ALL,21.62
12/01/2010 01:10:23,N,DC3SES_UNIT1,21.64
12/01/2010 01:10:23,N,DC_E,21.64
12/01/2010 01:10:23,N,DC_L,21.74
12/01/2010 01:10:23,N,DC_N,21.46
12/01/2010 01:10:23,N,DC_R,21.97
12/01/2010 01:10:23,N,DC_S,21.97
12/01/2010 01:10:23,N,DDPEC_CC1,21.67
12/01/2010 01:10:23,N,DDPEC_GT1,21.67
12/01/2010 01:10:23,N,DDPEC_GT2,21.67
12/01/2010 01:10:23,N,DDPEC_GT3,21.67
12/01/2010 01:10:23,N,DDPEC_GT4,21.67
12/01/2010 01:10:23,N,DDPEC_ST1,21.67
12/01/2010 01:10:23,N,DECKER_DPG1,21.68
12/01/2010 01:10:23,N,DECKER_DPG2,21.68
12/01/2010 01:10:23,N,DECKER_GT,21.68
12/01/2010 01:10:23,N,DENISON_G1_2,21.64
12/01/2010 01:10:23,N,DIB_CC1,21.67
12/01/2010 01:10:23,N,DIB_DIB_G1,21.67
12/01/2010 01:10:23,N,DIB_DIB_G2,21.67
12/01/2010 01:10:23,N,DIB_DIB_G3,21.67
12/01/2010 01:10:23,N,DIB_DIB_G4,21.67
12/01/2010 01:10:23,N,DIB_PUN1,21.67
12/01/2010 01:10:23,N,DIB_PUN2,21.67
12/01/2010 01:10:23,N,DOWGEN_PUN1,21.68
12/01/2010 01:10:23,N,DOWGEN_PUN2,21.68
12/01/2010 01:10:23,N,DOW_61_2_64,21.68
12/01/2010 01:10:23,N,DOW_84_82_83,21.68
12/01/2010 01:10:23,N,DOW_G37_G35,21.68
12/01/2010 01:10:23,N,DOW_G66_ST65,21.68
12/01/2010 01:10:23,N,DOW_G67,21.68
12/01/2010 01:10:23,N,DOW_G81,21.68
12/01/2010 01:10:23,N,DOW_G96_ST95,21.68
12/01/2010 01:10:23,N,DUKE_CC1,21.7
12/01/2010 01:10:23,N,DUKE_GST1CCU,21.7
12/01/2010 01:10:23,N,DUKE_GT2_CCU,21.7
12/01/2010 01:10:23,N,DUP_DUPV1_G1,21.69
12/01/2010 01:10:23,N,DUP_PUN1,21.69
12/01/2010 01:10:23,N,DUP_PUN2,21.69
