OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
08/16/2024,01:00,16509.30,2220.65,7071.31,1847.90,19095.32,4781.43,10339.99,1498.38,63364.28,N
08/16/2024,02:00,15735.41,2101.75,7039.95,1801.47,18058.26,4567.02,9851.68,1403.78,60559.32,N
08/16/2024,03:00,15206.27,2021.97,6951.67,1781.77,17290.48,4394.63,9346.00,1372.38,58365.17,N
08/16/2024,04:00,14865.18,2042.30,6972.43,1733.65,16813.96,4315.31,9037.75,1345.33,57125.92,N
08/16/2024,05:00,14786.39,2022.27,7017.64,1716.30,16609.23,4253.06,8837.26,1295.80,56537.94,N
08/16/2024,06:00,14961.18,2021.60,6936.27,1706.98,16793.42,4215.98,8837.83,1307.98,56781.25,N
08/16/2024,07:00,15209.29,2031.85,6908.90,1724.48,17176.92,4318.33,9079.01,1323.97,57772.75,N
08/16/2024,08:00,15296.30,2044.17,6968.18,1766.58,17325.85,4232.19,9178.16,1379.98,58191.43,N
08/16/2024,09:00,16331.88,2123.64,7426.55,1840.99,18238.29,4465.20,9476.05,1458.35,61360.94,N
08/16/2024,10:00,17495.61,2462.01,7307.21,1982.70,19763.55,4856.88,10110.97,1644.80,65623.74,N
08/16/2024,11:00,18755.33,2608.22,7149.35,2079.79,21248.38,5135.13,10882.86,1694.89,69553.96,N
08/16/2024,12:00,20029.39,2801.80,7317.29,2188.47,22896.30,5610.93,11610.53,1804.99,74259.70,N
08/16/2024,13:00,20764.44,2866.34,7372.63,2329.57,24466.25,5889.37,12297.49,1901.39,77887.48,N
08/16/2024,14:00,21595.08,2966.23,7377.17,2366.98,25849.76,6198.08,13014.17,2009.55,81377.02,N
08/16/2024,15:00,22130.17,3055.65,6979.85,2368.01,26686.36,6367.04,13369.55,2121.65,83078.28,N
08/16/2024,16:00,22288.83,3045.12,6738.74,2305.98,26856.47,6261.12,13568.23,2110.99,83175.48,N
08/16/2024,17:00,22277.44,3060.83,6593.38,2327.13,27258.69,6283.35,13667.06,2129.51,83597.41,N
08/16/2024,18:00,21974.62,3025.27,6594.49,2308.89,27276.33,6192.84,13833.40,2143.18,83349.02,N
08/16/2024,19:00,21363.74,3028.56,6728.90,2351.87,26759.72,6172.80,13996.84,2142.62,82545.05,N
08/16/2024,20:00,20753.93,2915.37,6935.82,2315.59,25744.57,6000.98,13753.36,2079.04,80498.65,N
08/16/2024,21:00,20169.19,2798.57,6747.40,2181.12,24369.70,5916.22,13150.91,2001.70,77334.81,N
08/16/2024,22:00,19478.55,2688.58,6827.76,2129.93,23429.27,5628.18,12665.62,1912.29,74760.17,N
08/16/2024,23:00,18550.08,2506.80,6862.54,2091.27,22205.49,5374.56,11883.05,1795.13,71268.92,N
08/16/2024,24:00,17528.30,2352.98,7196.32,2050.54,20708.35,5078.33,11087.00,1676.78,67678.59,N
