OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
07/31/2024,01:00,15616.05,2046.68,7126.12,2006.95,18274.24,4648.96,9752.63,1474.97,60946.60,N
07/31/2024,02:00,14895.44,1922.03,7068.14,1904.63,17168.84,4466.33,9272.56,1434.06,58132.04,N
07/31/2024,03:00,14441.13,1858.70,6907.30,1852.52,16452.75,4300.69,8994.67,1359.66,56167.42,N
07/31/2024,04:00,14155.74,1836.26,6898.07,1798.99,16016.18,4101.03,8707.48,1338.23,54851.99,N
07/31/2024,05:00,14081.00,1806.67,6867.22,1769.13,15806.85,4049.35,8531.66,1304.97,54216.85,N
07/31/2024,06:00,14338.42,1808.31,6837.29,1774.61,15953.70,3987.22,8595.56,1313.45,54608.56,N
07/31/2024,07:00,14585.89,1872.00,6895.48,1824.27,16289.28,4025.12,8733.52,1309.47,55535.04,N
07/31/2024,08:00,14723.91,1891.22,6955.54,1848.34,16569.46,4067.18,8838.12,1341.98,56235.76,N
07/31/2024,09:00,15658.29,1974.35,7123.88,1949.60,17765.66,4215.59,9128.39,1377.61,59193.37,N
07/31/2024,10:00,16705.19,2083.14,7245.82,2035.41,18794.66,4544.57,9641.38,1543.45,62593.61,N
07/31/2024,11:00,17850.03,2230.24,7333.40,2118.66,19990.15,4860.56,10207.65,1594.43,66185.13,N
07/31/2024,12:00,18843.45,2432.64,7196.87,2243.28,21238.56,5148.73,10747.40,1689.53,69540.47,N
07/31/2024,13:00,19784.37,2554.06,7291.58,2376.37,22503.85,5396.75,11276.62,1766.16,72949.76,N
07/31/2024,14:00,20570.31,2670.97,7415.67,2482.80,23572.24,5647.97,11842.14,1879.43,76081.54,N
07/31/2024,15:00,21148.06,2768.33,7301.51,2565.08,24346.63,5828.53,12441.25,1962.54,78361.94,N
07/31/2024,16:00,21481.80,2843.87,6813.15,2605.01,24850.78,5888.10,12909.29,2011.63,79403.64,N
07/31/2024,17:00,21435.92,2864.96,6681.78,2455.15,25151.58,5889.46,13181.31,2023.73,79683.90,N
07/31/2024,18:00,21205.52,2855.75,6569.38,2436.05,25136.82,5884.90,13314.27,2041.24,79443.92,N
07/31/2024,19:00,20672.00,2825.52,6673.52,2518.06,24605.04,5823.77,13232.11,2045.27,78395.28,N
07/31/2024,20:00,19827.41,2730.85,7004.15,2644.16,23651.32,5612.50,12746.38,1871.48,76088.27,N
07/31/2024,21:00,19129.23,2597.36,7182.36,2463.69,22586.00,5395.93,12109.02,1817.06,73280.65,N
07/31/2024,22:00,18564.59,2455.69,7286.50,2317.50,21906.96,5167.26,11622.59,1807.59,71128.69,N
07/31/2024,23:00,17489.99,2284.91,7200.47,2218.95,20597.73,4872.25,10825.29,1722.52,67212.12,N
07/31/2024,24:00,16562.10,2141.52,7095.88,2101.08,19194.21,4708.47,10042.73,1625.79,63471.79,N
